Column3,Column2,Column1,active_PSS,product,Substance_Name,Substance_Type,Molecular_Formula,Molecular_Weight,Inchikey,Comment,Created_Date,Last_Updated_Date,External_Code_XEVMPD,External_Code_SVG,External_Code_UNII,pss_inchi,IsomericSMILES,ps_smiles,ps_num_drugs,p_smiles,p_inchi,p_inchikey,p_chembl_id,chembl_mismatch
10,10,10,ACLIDINIUM BROMIDE,6,ACLIDINIUM BROMIDE,Chemical,C26H30NO4S2.Br,,XLAKJQPTOJHYDR-QTQXQZBYSA-M,,25/07/2019 11:55,01/08/2023 06:31,SUB71687,1,UQW7UF9N91,"InChI=1S/C26H30NO4S2.BrH/c28-25(26(29,23-9-4-17-32-23)24-10-5-18-33-24)31-22-19-27(14-11-20(22)12-15-27)13-6-16-30-21-7-2-1-3-8-21;/h1-5,7-10,17-18,20,22,29H,6,11-16,19H2;1H/q+1;/p-1/t20?,22-,27?;/m0./s1",C1C[N+]2(CCC1[C@H](C2)OC(=O)C(C3=CC=CS3)(C4=CC=CS4)O)CCCOC5=CC=CC=C5.[Br-],O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1.[Br-],1,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1,"InChI=1S/C26H30NO4S2/c28-25(26(29,23-9-4-17-32-23)24-10-5-18-33-24)31-22-19-27(14-11-20(22)12-15-27)13-6-16-30-21-7-2-1-3-8-21/h1-5,7-10,17-18,20,22,29H,6,11-16,19H2/q+1/t20?,22-,27?/m0/s1",ASMXXROZKSBQIH-VITNCHFBSA-N,CHEMBL1194325,FALSE
11,11,11,FORMOTEROL FUMARATE DIHYDRATE,6,FORMOTEROL FUMARATE DIHYDRATE,Chemical,2C19H24N2O4.C4H4O4.2H2O,,RATSWNOMCHFQGJ-AYJOUMQSSA-N,,25/07/2019 11:55,18/12/2023 14:03,SUB25660,1,W34SHF8J2K,"InChI=1S/2C19H24N2O4.C4H4O4.2H2O/c2*1-13(9-14-3-6-16(25-2)7-4-14)20-11-19(24)15-5-8-18(23)17(10-15)21-12-22;5-3(6)1-2-4(7)8;;/h2*3-8,10,12-13,19-20,23-24H,9,11H2,1-2H3,(H,21,22);1-2H,(H,5,6)(H,7,8);2*1H2/b;;2-1+;;/t2*13-,19+;;;/m11.../s1",C[C@H](CC1=CC=C(C=C1)OC)NC[C@@H](C2=CC(=C(C=C2)O)NC=O)O.C[C@H](CC1=CC=C(C=C1)OC)NC[C@@H](C2=CC(=C(C=C2)O)NC=O)O.C(=C/C(=O)O)\C(=O)O.O.O,COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1.COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1.O=C(O)/C=C/C(=O)O,2,COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1,"InChI=1S/C19H24N2O4/c1-13(9-14-3-6-16(25-2)7-4-14)20-11-19(24)15-5-8-18(23)17(10-15)21-12-22/h3-8,10,12-13,19-20,23-24H,9,11H2,1-2H3,(H,21,22)/t13-,19+/m1/s1",BPZSYCZIITTYBL-YJYMSZOUSA-N,CHEMBL1363,FALSE
12,12,12,ACLIDINIUM BROMIDE,7,ACLIDINIUM BROMIDE,Chemical,C26H30NO4S2.Br,,XLAKJQPTOJHYDR-QTQXQZBYSA-M,,25/07/2019 11:55,01/08/2023 06:31,SUB71687,1,UQW7UF9N91,"InChI=1S/C26H30NO4S2.BrH/c28-25(26(29,23-9-4-17-32-23)24-10-5-18-33-24)31-22-19-27(14-11-20(22)12-15-27)13-6-16-30-21-7-2-1-3-8-21;/h1-5,7-10,17-18,20,22,29H,6,11-16,19H2;1H/q+1;/p-1/t20?,22-,27?;/m0./s1",C1C[N+]2(CCC1[C@H](C2)OC(=O)C(C3=CC=CS3)(C4=CC=CS4)O)CCCOC5=CC=CC=C5.[Br-],O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1.[Br-],1,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1,"InChI=1S/C26H30NO4S2/c28-25(26(29,23-9-4-17-32-23)24-10-5-18-33-24)31-22-19-27(14-11-20(22)12-15-27)13-6-16-30-21-7-2-1-3-8-21/h1-5,7-10,17-18,20,22,29H,6,11-16,19H2/q+1/t20?,22-,27?/m0/s1",ASMXXROZKSBQIH-VITNCHFBSA-N,CHEMBL1194325,FALSE
13,13,13,FESOTERODINE FUMARATE,8,FESOTERODINE FUMARATE,Chemical,C26H37NO3.C4H4O4,,MWHXMIASLKXGBU-RNCYCKTQSA-N,,25/07/2019 11:55,12/07/2023 11:59,SUB70604,1,EOS72165S7,"InChI=1S/C26H37NO3.C4H4O4/c1-18(2)26(29)30-25-13-12-21(17-28)16-24(25)23(22-10-8-7-9-11-22)14-15-27(19(3)4)20(5)6;5-3(6)1-2-4(7)8/h7-13,16,18-20,23,28H,14-15,17H2,1-6H3;1-2H,(H,5,6)(H,7,8)/b;2-1+/t23-;/m1./s1",CC(C)C(=O)OC1=C(C=C(C=C1)CO)[C@H](CCN(C(C)C)C(C)C)C2=CC=CC=C2.C(=C/C(=O)O)\C(=O)O,CC(C)C(=O)Oc1ccc(CO)cc1[C@H](CCN(C(C)C)C(C)C)c1ccccc1.O=C(O)/C=C/C(=O)O,1,CC(C)C(=O)Oc1ccc(CO)cc1[C@H](CCN(C(C)C)C(C)C)c1ccccc1,"InChI=1S/C26H37NO3/c1-18(2)26(29)30-25-13-12-21(17-28)16-24(25)23(22-10-8-7-9-11-22)14-15-27(19(3)4)20(5)6/h7-13,16,18-20,23,28H,14-15,17H2,1-6H3/t23-/m1/s1",DCCSDBARQIPTGU-HSZRJFAPSA-N,CHEMBL1201764,FALSE
14,14,14,DEFERASIROX,9,DEFERASIROX,Chemical,C21H15N3O4,,BOFQWVMAQOTZIW-UHFFFAOYSA-N,,25/07/2019 11:55,20/12/2023 12:16,SUB21981,1,V8G4MOF2V9,"InChI=1S/C21H15N3O4/c25-17-7-3-1-5-15(17)19-22-20(16-6-2-4-8-18(16)26)24(23-19)14-11-9-13(10-12-14)21(27)28/h1-12,25-26H,(H,27,28)",C1=CC=C(C(=C1)C2=NN(C(=N2)C3=CC=CC=C3O)C4=CC=C(C=C4)C(=O)O)O,O=C(O)c1ccc(-n2nc(-c3ccccc3O)nc2-c2ccccc2O)cc1,1,O=C(O)c1ccc(-n2nc(-c3ccccc3O)nc2-c2ccccc2O)cc1,"InChI=1S/C21H15N3O4/c25-17-7-3-1-5-15(17)19-22-20(16-6-2-4-8-18(16)26)24(23-19)14-11-9-13(10-12-14)21(27)28/h1-12,25-26H,(H,27,28)",BOFQWVMAQOTZIW-UHFFFAOYSA-N,CHEMBL550348,FALSE
15,15,15,DEFERASIROX,10,DEFERASIROX,Chemical,C21H15N3O4,,BOFQWVMAQOTZIW-UHFFFAOYSA-N,,25/07/2019 11:55,20/12/2023 12:16,SUB21981,1,V8G4MOF2V9,"InChI=1S/C21H15N3O4/c25-17-7-3-1-5-15(17)19-22-20(16-6-2-4-8-18(16)26)24(23-19)14-11-9-13(10-12-14)21(27)28/h1-12,25-26H,(H,27,28)",C1=CC=C(C(=C1)C2=NN(C(=N2)C3=CC=CC=C3O)C4=CC=C(C=C4)C(=O)O)O,O=C(O)c1ccc(-n2nc(-c3ccccc3O)nc2-c2ccccc2O)cc1,1,O=C(O)c1ccc(-n2nc(-c3ccccc3O)nc2-c2ccccc2O)cc1,"InChI=1S/C21H15N3O4/c25-17-7-3-1-5-15(17)19-22-20(16-6-2-4-8-18(16)26)24(23-19)14-11-9-13(10-12-14)21(27)28/h1-12,25-26H,(H,27,28)",BOFQWVMAQOTZIW-UHFFFAOYSA-N,CHEMBL550348,FALSE
16,16,16,TACROLIMUS MONOHYDRATE,11,TACROLIMUS MONOHYDRATE,Chemical,C44H69NO12.H2O,,NWJQLQGQZSIBAF-MLAUYUEBSA-N,,25/07/2019 11:55,21/12/2023 09:59,SUB23141,1,WM0HAQ4WNM,"InChI=1S/C44H69NO12.H2O/c1-10-13-31-19-25(2)18-26(3)20-37(54-8)40-38(55-9)22-28(5)44(52,57-40)41(49)42(50)45-17-12-11-14-32(45)43(51)56-39(29(6)34(47)24-35(31)48)27(4)21-30-15-16-33(46)36(23-30)53-7;/h10,19,21,26,28-34,36-40,46-47,52H,1,11-18,20,22-24H2,2-9H3;1H2/b25-19+,27-21+;/t26-,28+,29+,30-,31+,32-,33+,34-,36+,37-,38-,39+,40+,44+;/m0./s1",C[C@@H]1C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC(=O)[C@@H](/C=C(/C1)\C)CC=C)O)C)/C(=C/[C@@H]4CC[C@H]([C@@H](C4)OC)O)/C)O)C)OC)OC.O,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,1,C=CC[C@@H]1/C=C(/C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,"InChI=1S/C44H69NO12/c1-10-13-31-19-25(2)18-26(3)20-37(54-8)40-38(55-9)22-28(5)44(52,57-40)41(49)42(50)45-17-12-11-14-32(45)43(51)56-39(29(6)34(47)24-35(31)48)27(4)21-30-15-16-33(46)36(23-30)53-7/h10,19,21,26,28-34,36-40,46-47,52H,1,11-18,20,22-24H2,2-9H3/b25-19-,27-21+/t26-,28+,29+,30-,31+,32-,33+,34-,36+,37-,38-,39+,40+,44+/m0/s1",QJJXYPPXXYFBGM-LJIGMGMYSA-N,CHEMBL4303795,FALSE
17,17,17,TACROLIMUS MONOHYDRATE,12,TACROLIMUS MONOHYDRATE,Chemical,C44H69NO12.H2O,,NWJQLQGQZSIBAF-MLAUYUEBSA-N,,25/07/2019 11:55,21/12/2023 09:59,SUB23141,1,WM0HAQ4WNM,"InChI=1S/C44H69NO12.H2O/c1-10-13-31-19-25(2)18-26(3)20-37(54-8)40-38(55-9)22-28(5)44(52,57-40)41(49)42(50)45-17-12-11-14-32(45)43(51)56-39(29(6)34(47)24-35(31)48)27(4)21-30-15-16-33(46)36(23-30)53-7;/h10,19,21,26,28-34,36-40,46-47,52H,1,11-18,20,22-24H2,2-9H3;1H2/b25-19+,27-21+;/t26-,28+,29+,30-,31+,32-,33+,34-,36+,37-,38-,39+,40+,44+;/m0./s1",C[C@@H]1C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC(=O)[C@@H](/C=C(/C1)\C)CC=C)O)C)/C(=C/[C@@H]4CC[C@H]([C@@H](C4)OC)O)/C)O)C)OC)OC.O,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,1,C=CC[C@@H]1/C=C(/C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,"InChI=1S/C44H69NO12/c1-10-13-31-19-25(2)18-26(3)20-37(54-8)40-38(55-9)22-28(5)44(52,57-40)41(49)42(50)45-17-12-11-14-32(45)43(51)56-39(29(6)34(47)24-35(31)48)27(4)21-30-15-16-33(46)36(23-30)53-7/h10,19,21,26,28-34,36-40,46-47,52H,1,11-18,20,22-24H2,2-9H3/b25-19-,27-21+/t26-,28+,29+,30-,31+,32-,33+,34-,36+,37-,38-,39+,40+,44+/m0/s1",QJJXYPPXXYFBGM-LJIGMGMYSA-N,CHEMBL4303795,FALSE
18,18,18,PREGABALIN,13,PREGABALIN,Chemical,C8H17NO2,,AYXYPKUFHZROOJ-ZETCQYMHSA-N,,25/07/2019 11:55,20/12/2023 08:49,SUB10023MIG,1,55JG375S6M,"InChI=1S/C8H17NO2/c1-6(2)3-7(5-9)4-8(10)11/h6-7H,3-5,9H2,1-2H3,(H,10,11)/t7-/m0/s1",CC(C)C[C@@H](CC(=O)O)CN,CC(C)C[C@H](CN)CC(=O)O,1,CC(C)C[C@H](CN)CC(=O)O,"InChI=1S/C8H17NO2/c1-6(2)3-7(5-9)4-8(10)11/h6-7H,3-5,9H2,1-2H3,(H,10,11)/t7-/m0/s1",AYXYPKUFHZROOJ-ZETCQYMHSA-N,CHEMBL1059,FALSE
19,19,19,IBANDRONATE SODIUM MONOHYDRATE,14,IBANDRONATE SODIUM MONOHYDRATE,Chemical,C9H22NO7P2.Na.H2O,,VBDRTGFACFYFCT-UHFFFAOYSA-M,,25/07/2019 11:55,18/12/2023 15:03,SUB12516MIG,1,J12U072QL0,"InChI=1S/C9H23NO7P2.Na.H2O/c1-3-4-5-7-10(2)8-6-9(11,18(12,13)14)19(15,16)17;;/h11H,3-8H2,1-2H3,(H2,12,13,14)(H2,15,16,17);;1H2/q;+1;/p-1",CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)[O-].O.[Na+],CCCCCN(C)CCC(O)(P(=O)([O-])O)P(=O)(O)O.[Na+],1,CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O,"InChI=1S/C9H23NO7P2/c1-3-4-5-7-10(2)8-6-9(11,18(12,13)14)19(15,16)17/h11H,3-8H2,1-2H3,(H2,12,13,14)(H2,15,16,17)",MPBVHIBUJCELCL-UHFFFAOYSA-N,CHEMBL997,FALSE
20,20,20,IBANDRONATE SODIUM MONOHYDRATE,15,IBANDRONATE SODIUM MONOHYDRATE,Chemical,C9H22NO7P2.Na.H2O,,VBDRTGFACFYFCT-UHFFFAOYSA-M,,25/07/2019 11:55,18/12/2023 15:03,SUB12516MIG,1,J12U072QL0,"InChI=1S/C9H23NO7P2.Na.H2O/c1-3-4-5-7-10(2)8-6-9(11,18(12,13)14)19(15,16)17;;/h11H,3-8H2,1-2H3,(H2,12,13,14)(H2,15,16,17);;1H2/q;+1;/p-1",CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)[O-].O.[Na+],CCCCCN(C)CCC(O)(P(=O)([O-])O)P(=O)(O)O.[Na+],1,CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O,"InChI=1S/C9H23NO7P2/c1-3-4-5-7-10(2)8-6-9(11,18(12,13)14)19(15,16)17/h11H,3-8H2,1-2H3,(H2,12,13,14)(H2,15,16,17)",MPBVHIBUJCELCL-UHFFFAOYSA-N,CHEMBL997,FALSE
21,21,21,ACLIDINIUM BROMIDE,16,ACLIDINIUM BROMIDE,Chemical,C26H30NO4S2.Br,,XLAKJQPTOJHYDR-QTQXQZBYSA-M,,25/07/2019 11:55,01/08/2023 06:31,SUB71687,1,UQW7UF9N91,"InChI=1S/C26H30NO4S2.BrH/c28-25(26(29,23-9-4-17-32-23)24-10-5-18-33-24)31-22-19-27(14-11-20(22)12-15-27)13-6-16-30-21-7-2-1-3-8-21;/h1-5,7-10,17-18,20,22,29H,6,11-16,19H2;1H/q+1;/p-1/t20?,22-,27?;/m0./s1",C1C[N+]2(CCC1[C@H](C2)OC(=O)C(C3=CC=CS3)(C4=CC=CS4)O)CCCOC5=CC=CC=C5.[Br-],O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1.[Br-],1,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1,"InChI=1S/C26H30NO4S2/c28-25(26(29,23-9-4-17-32-23)24-10-5-18-33-24)31-22-19-27(14-11-20(22)12-15-27)13-6-16-30-21-7-2-1-3-8-21/h1-5,7-10,17-18,20,22,29H,6,11-16,19H2/q+1/t20?,22-,27?/m0/s1",ASMXXROZKSBQIH-VITNCHFBSA-N,CHEMBL1194325,FALSE
