Column1,Category,Medicine name,Therapeutic area,International non-proprietary name (INN) / common name,Active substance,Product number,Patient safety,Authorisation status,ATC code,Additional monitoring,Generic,Conditional approval,Exceptional circumstances,Accelerated assessment,Orphan medicine,Marketing authorisation date,Date of refusal of marketing authorisation,Marketing authorisation holder/company name,Human pharmacotherapeutic group,Date of opinion,Decision date,Revision number,Condition / indication,First published,Revision date,URL,InChI_Keys,PDF_URL
18,Human,Dovprela (previously Pretomanid FGK),"Tuberculosis, Multidrug-Resistant",pretomanid,['PRETOMANID'],EMEA/H/C/005167,no,Authorised,J04,yes,no,no,no,no,yes,31/07/2020,,Mylan IRE Healthcare Limited,Antimycobacterials,26/03/2020,15/11/2023,9,"Dovprela is indicated in combination with bedaquiline and linezolid, in adults, for the treatment of pulmonary extensively drug resistant (XDR), or treatment-intolerant or nonresponsive multidrug-resistant (MDR) tuberculosis (TB).Consideration should be given to official guidance on the appropriate use of antibacterial agents.",11/08/2020,01/12/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/dovprela-previously-pretomanid-fgk,['ZLHZLMOSPGACSZ-NSHDSACASA-N'],https://www.ema.europa.eu/en/documents/product-information/dovprela-previously-pretomanid-fgk-epar-product-information_en.pdf
20,Human,Otezla,"Arthritis, Psoriatic;  Psoriasis",apremilast,['APREMILAST'],EMEA/H/C/003746,no,Authorised,L04AA32,no,no,no,no,no,no,15/01/2015,,Amgen Europe BV,Immunosuppressants,,13/07/2022,21,"Psoriatic arthritisOtezla, alone or in combination with Disease Modifying Antirheumatic Drugs (DMARDs), is indicated for the treatment of active psoriatic arthritis (PsA) in adult patients who have had an inadequate response or who have been intolerant to a prior DMARD therapy.PsoriasisOtezla is indicated for the treatment of moderate to severe chronic plaque psoriasis in adult patients who failed to respond to or who have a contraindication to, or are intolerant to other systemic therapy including cyclosporine, methotrexate or psoralen and ultraviolet-A light (PUVA).",02/08/2018,01/12/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/otezla,['IMOZEMNVLZVGJZ-QGZVFWFLSA-N'],https://www.ema.europa.eu/en/documents/product-information/otezla-epar-product-information_en.pdf
22,Human,Plavix,Stroke;  Peripheral Vascular Diseases;  Atrial Fibrillation;  Myocardial Infarction;  Acute Coronary Syndrome,clopidogrel,['CLOPIDOGREL HYDROGEN SULFATE'],EMEA/H/C/000174,no,Authorised,B01AC04,no,no,no,no,no,no,15/07/1998,,Sanofi Winthrop Industrie,Antithrombotic agents,25/03/1998,05/07/2023,50,"Secondary prevention of atherothrombotic eventsClopidogrel is indicated in:adult patients suffering from myocardial infarction (from a few days until less than 35 days), ischaemic stroke (from seven days until less than six months) or established peripheral arterial disease;adult patients suffering from acute coronary syndrome:non-ST-segment-elevation acute coronary syndrome (unstable angina or non-Q-wave myocardial infarction), including patients undergoing a stent placement following percutaneous coronary intervention, in combination with acetylsalicylic acid (ASA);ST-segment-elevation acute myocardial infarction, in combination with ASA in patients undergoing percutaneous coronary intervention (including patients undergoing a stent replacement) or medically treated patients eligible for thrombolytic/fibrinolytic therapy.In patients with moderate to high-risk Transient Ischemic Attack (TIA) or minor Ischemic Stroke (IS)Clopidogrel in combination with ASA is indicated in:Adult patients with moderate to high-risk TIA (ABCD2  score ?4) or minor IS (NIHSS  ?3) within 24 hours of either the TIA or IS event.Prevention of atherothrombotic and thromboembolic events in atrial fibrillationIn adult patients with atrial fibrillation who have at least one risk factor for vascular events, are not suitable for treatment with vitamin-K antagonists and who have a low bleeding risk, clopidogrel is indicated in combination with ASA for the prevention of atherothrombotic and thromboembolic events, including stroke.",22/03/2018,01/12/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/plavix,['FDEODCTUSIWGLK-RSAXXLAASA-N'],https://www.ema.europa.eu/en/documents/product-information/plavix-epar-product-information_en.pdf
23,Human,Cialis,Erectile Dysfunction,tadalafil,['TADALAFIL'],EMEA/H/C/000436,no,Authorised,G04BE08,no,no,no,no,no,no,12/11/2002,,Eli Lilly Nederland B.V.,Urologicals,25/07/2002,25/08/2023,32,"Treatment of erectile dysfunction.In order for tadalafil to be effective, sexual stimulation is required.Cialis is not indicated for use by women.",23/03/2017,01/12/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/cialis,['WOXKDUGGOYFFRN-IIBYNOLFSA-N'],https://www.ema.europa.eu/en/documents/product-information/cialis-epar-product-information_en.pdf
24,Human,Ozawade,"Sleep Apnea, Obstructive",pitolisant,['PITOLISANT'],EMEA/H/C/005117,no,Authorised,N07XX11,no,no,no,no,no,no,01/09/2021,,Bioprojet Pharma,Other nervous system drugs,20/05/2021,27/11/2023,3,Ozawade is indicated to improve wakefulness and reduce excessive daytime sleepiness (EDS) in adult patients with obstructive sleep apnoea (OSA),20/05/2021,01/12/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/ozawade,['NNACHAUCXXVJSP-UHFFFAOYSA-N'],https://www.ema.europa.eu/en/documents/product-information/ozawade-epar-product-information_en.pdf
25,Human,Ocaliva,"Liver Cirrhosis, Biliary",obeticholic acid,['OBETICHOLIC ACID'],EMEA/H/C/004093,no,Authorised,A05AA04,yes,no,yes,no,no,yes,12/12/2016,,ADVANZ PHARMA Limited,Bile and liver therapy,13/10/2016,08/06/2023,17,Ocaliva is indicated for the treatment of primary biliary cholangitis (also known as primary biliary cirrhosis) in combination with ursodeoxycholic acid (UDCA) in adults with an inadequate response to UDCA or as monotherapy in adults unable to tolerate UDCA.,21/03/2018,30/11/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/ocaliva,['ZXERDUOLZKYMJM-ZWECCWDJSA-N'],https://www.ema.europa.eu/en/documents/product-information/ocaliva-epar-product-information_en.pdf
27,Human,Xelevia,"Diabetes Mellitus, Type 2",sitagliptin,['SITAGLIPTIN'],EMEA/H/C/000762,no,Authorised,A10BH01,no,no,no,no,no,no,21/03/2007,,Merck Sharp & Dohme B.V.,Drugs used in diabetes,24/01/2007,14/11/2023,39,"For adult patients with type-2 diabetes mellitus, Xelevia is indicated to improve glycaemic control:as monotherapy:in patients inadequately controlled by diet and exercise alone and for whom metformin is inappropriate due to contraindications or intolerance;as dual oral therapy in combination with:metformin when diet and exercise plus metformin alone do not provide adequate glycaemic control;a sulphonylurea when diet and exercise plus maximal tolerated dose of a sulphonylurea alone do not provide adequate glycaemic control and when metformin is inappropriate due to contraindications or intolerance;a peroxisome proliferator-activated receptor gamma (PPAR?) agonist (i.e. a thiazolidinedione) when use of a PPAR? agonist is appropriate and when diet and exercise plus the PPAR? agonist alone do not provide adequate glycaemic control;as triple oral therapy in combination with:a sulphonylurea and metformin when diet and exercise plus dual therapy with these medicinal products do not provide adequate glycaemic control;a PPAR? agonist and metformin when use of a PPAR? agonist is appropriate and when diet and exercise plus dual therapy with these medicinal products do not provide adequate glycaemic control.Xelevia is also indicated as add-on to insulin (with or without metformin) when diet and exercise plus stable dose of insulin do not provide adequate glycaemic control.",20/08/2018,30/11/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/xelevia,['MFFMDFFZMYYVKS-SECBINFHSA-N'],https://www.ema.europa.eu/en/documents/product-information/xelevia-epar-product-information_en.pdf
28,Human,Rubraca,Ovarian Neoplasms,rucaparib,['RUCAPARIB CAMSYLATE'],EMEA/H/C/004272,yes,Authorised,L01XX,yes,no,no,no,no,no,23/05/2018,,pharmaand GmbH,Antineoplastic agents,06/11/2017,15/11/2023,15,"Rubraca is indicated as monotherapy for the maintenance treatment of adult patients with advanced (FIGO Stages III and IV) high-grade epithelial ovarian, fallopian tube, or primary peritoneal cancer who are in response (complete or partial) following completion of first-line platinum-based chemotherapy.Rubraca is indicated as monotherapy for the maintenance treatment of adult patients with platinum-sensitive relapsed high-grade epithelial ovarian, fallopian tube, or primary peritoneal cancer who are in response (complete or partial) to platinum-based chemotherapy.",24/05/2018,30/11/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/rubraca,['INBJJAFXHQQSRW-STOWLHSFSA-N'],https://www.ema.europa.eu/en/documents/product-information/rubraca-epar-product-information_en.pdf
29,Human,Kalydeco,Cystic Fibrosis,ivacaftor,['IVACAFTOR'],EMEA/H/C/002494,no,Authorised,R07AX02,no,no,no,no,yes,no,23/07/2012,,Vertex Pharmaceuticals (Ireland) Limited,Other respiratory system products,24/05/2012,20/11/2023,38,"Kalydeco tablets are indicated:As monotherapy for the treatment of adults, adolescents, and children aged 6 years and older and weighing 25 kg or more with cystic fibrosis (CF) who have an R117H CFTR mutation or one of the following gating (class III) mutations in the cystic fibrosis transmembrane conductance regulator (CFTR) gene: G551D, G1244E, G1349D, G178R, G551S, S1251N, S1255P, S549N or S549R (see sections 4.4 and 5.1).In a combination regimen with tezacaftor/ivacaftor tablets for the treatment of adults, adolescents, and children aged 6 years and older with cystic fibrosis (CF) who are homozygous for the F508del mutation or who are heterozygous for the F508del mutation and have one of the following mutations in the CFTR gene: P67L, R117C, L206W, R352Q, A455E, D579G, 711+3A?G, S945L, S977F, R1070W, D1152H, 2789+5G?A, 3272 26A?G, and 3849+10kbC?T.In a combination regimen with ivacaftor/tezacaftor/elexacaftor tablets for the treatment of adults, adolescents, and children aged 6 years and older with cystic fibrosis (CF) who have at least one F508del mutation in the CFTR gene (see section 5.1).Kalydeco granules are indicated for the treatment of infants aged at least 4 months, toddlers and children weighing 5 kg to less than 25 kg with cystic fibrosis (CF) who have an R117H CFTR mutation or one of the following gating (class III) mutations in the CFTR gene: G551D, G1244E, G1349D, G178R, G551S, S1251N, S1255P, S549N or S549R (see sections 4.4 and 5.1).In a combination regimen with ivacaftor/tezacaftor/elexacaftor for the treatment of cystic fibrosis (CF) in paediatric patients aged 2 to less than 6 years who have at least one F508del mutation in the CFTR gene.",08/09/2017,30/11/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/kalydeco,['PURKAOJPTOLRMP-UHFFFAOYSA-N'],https://www.ema.europa.eu/en/documents/product-information/kalydeco-epar-product-information_en.pdf
30,Human,Inaqovi,"Leukemia, Myeloid","cedazuridine, decitabine","['CEDAZURIDINE', 'DECITABINE']",EMEA/H/C/005823,no,Authorised,L01BC58,yes,no,no,no,no,no,15/09/2023,,Otsuka Pharmaceutical Netherlands B.V.,Antineoplastic agents,20/07/2023,,,Inaqovi is indicated as monotherapy for the treatment of adult patients with newly diagnosed acute myeloid leukaemia (AML) who are ineligible for standard induction chemotherapy.,17/07/2023,30/11/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/inaqovi,"['VUDZSIYXZUYWSC-DBRKOABJSA-N', 'XAUDJQYHKZQPEU-KVQBGUIXSA-N']",https://www.ema.europa.eu/en/documents/product-information/inaqovi-epar-product-information_en.pdf
32,Human,Ventavis,"Hypertension, Pulmonary",iloprost,['ILOPROST'],EMEA/H/C/000474,no,Authorised,B01AC11,no,no,no,no,no,no,15/09/2003,,Bayer AG,Antithrombotic agents,22/05/2003,27/11/2023,30,"Treatment of patients with primary pulmonary hypertension, classified as New York Heart Association functional class III, to improve exercise capacity and symptoms.",09/02/2018,30/11/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/ventavis,['HIFJCPQKFCZDDL-ACWOEMLNSA-N'],https://www.ema.europa.eu/en/documents/product-information/ventavis-epar-product-information_en.pdf
34,Human,Thalidomide BMS (previously Thalidomide Celgene),Multiple Myeloma,thalidomide,['THALIDOMIDE'],EMEA/H/C/000823,no,Authorised,L04AX02,no,no,no,no,no,no,16/04/2008,,Bristol-Myers Squibb Pharma EEIG,Immunosuppressants,,26/11/2023,31,"Thalidomide BMS in combination with melphalan and prednisone as first line treatment of patients with untreated multiple myeloma, aged >/= 65 years or ineligible for high dose chemotherapy.Thalidomide BMS is prescribed and dispensed according to the Thalidomide Celgene Pregnancy Prevention Programme (see section 4.4).",08/08/2018,30/11/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/thalidomide-celgene,['UEJJHQNACJXSKW-UHFFFAOYSA-N'],https://www.ema.europa.eu/en/documents/product-information/thalidomide-bms-previously-thalidomide-celgene-epar-product-information_en.pdf
37,Human,Neuraceq,Radionuclide Imaging;  Alzheimer Disease,florbetaben (18F),['FLORBETABEN (18F)'],EMEA/H/C/002553,no,Authorised,V09AX06,no,no,no,no,no,no,20/02/2014,,Life Molecular Imaging GmbH,Diagnostic radiopharmaceuticals,,18/10/2023,20,"This medicinal product is for diagnostic use only.Neuraceq is a radiopharmaceutical indicated for Positron Emission Tomography (PET) imaging of ? amyloid neuritic plaque density in the brains of adult patients with cognitive impairment who are being evaluated for Alzheimer’s disease (AD) and other causes of cognitive impairment. Neuraceq should be used in conjunction with a clinical evaluation.A negative scan indicates sparse or no plaques, which is not consistent with a diagnosis of AD.",12/03/2018,30/11/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/neuraceq,['NCWZOASIUQVOFA-FWZJPQCDSA-N'],https://www.ema.europa.eu/en/documents/product-information/neuraceq-epar-product-information_en.pdf
38,Human,Pylclari,Prostatic Neoplasms,piflufolastat (18F),['PIFLUFOLASTAT (18F)'],EMEA/H/C/005520,no,Authorised,V09,yes,no,no,no,no,no,24/07/2023,,Curium Pet France,Diagnostic radiopharmaceuticals,25/05/2023,27/11/2023,1,"This medicinal product is for diagnostic use only.Pylclari is indicated for the detection of prostate-specific membrane antigen (PSMA) positive lesions with positron emission tomography (PET) in adults with prostate cancer (PCa) in the following clinical settings:Primary staging of patients with high-risk PCa prior to initial curative therapy,To localize recurrence of PCa in patients with a suspected recurrence based on increasing serum prostate-specific antigen (PSA) levels after primary treatment with curative intent.Pylclari is indicated for use with positron emission tomography (PET).",28/07/2023,30/11/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/pylclari,['OLWVRJUNLXQDSP-MVBOSPHXSA-N'],https://www.ema.europa.eu/en/documents/product-information/pylclari-epar-product-information_en.pdf
40,Human,Omidria,"Lens Implantation, Intraocular;  Pain, Postoperative","phenylephrine, ketorolac","['KETOROLAC', 'PHENYLEPHRINE']",EMEA/H/C/003702,no,Authorised,S01,no,no,no,no,no,no,28/07/2015,,Rayner Surgical (Ireland) Limited,Ophthalmologicals,21/05/2015,24/11/2023,9,"Omidria is indicated in adults for maintenance of intraoperative mydriasis, prevention of intraoperative miosis and reduction of acute postoperative ocular pain in intraocular lens replacement surgery.",31/01/2018,29/11/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/omidria,"['OZWKMVRBQXNZKK-UHFFFAOYSA-N', 'SONNWYBIRXJNDC-VIFPVBQESA-N']",https://www.ema.europa.eu/en/documents/product-information/omidria-epar-product-information_en.pdf
42,Human,Pepaxti,Multiple Myeloma,melphalan flufenamide,['MELPHALAN FLUFENAMIDE HYDROCHLORIDE'],EMEA/H/C/005681,no,Authorised,L01AA10,no,no,no,no,no,no,17/08/2022,,Oncopeptides AB,Antineoplastic agents,,27/11/2023,3,"Pepaxti is indicated, in combination with dexamethasone, for the treatment of adult patients with multiple myeloma who have received at least three prior lines of therapies, whose disease is refractory to at least one proteasome inhibitor, one immunomodulatory agent, and one anti-CD38 monoclonal antibody, and who have demonstrated disease progression on or after the last therapy. For patients with a prior autologous stem cell transplantation, the time to progression should be at least 3 years from transplantation (see section 4.4).",21/06/2022,29/11/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/pepaxti,['ZCMWSKHHXLCVHI-VROPFNGYSA-N'],https://www.ema.europa.eu/en/documents/product-information/pepaxti-epar-product-information_en.pdf
48,Human,Orgovyx,Prostatic Neoplasms,relugolix,['RELUGOLIX'],EMEA/H/C/005353,no,Authorised,L02BX,yes,no,no,no,no,no,29/04/2022,,Accord Healthcare S.L.U.,Endocrine therapy,24/02/2022,20/11/2023,8,Orgovyx is indicated for the treatment of adult patients with advanced hormone-sensitive prostate cancer.,22/02/2022,29/11/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/orgovyx,['AOMXMOCNKJTRQP-UHFFFAOYSA-N'],https://www.ema.europa.eu/en/documents/product-information/orgovyx-epar-product-information_en.pdf
49,Human,Trizivir,HIV Infections,abacavir (as sulfate) / lamivudine / zidovudine,"['ABACAVIR (AS SULFATE)', 'LAMIVUDINE', 'ZIDOVUDINE']",EMEA/H/C/000338,no,Authorised,J05AR04,no,no,no,no,no,no,27/12/2000,,ViiV Healthcare BV,Antivirals for systemic use,21/09/2000,15/11/2023,43,"Trizivir is indicated for the treatment of human-immunodeficiency-virus (HIV) infection in adults.This fixed combination replaces the three components (abacavir, lamivudine and zidovudine) used separately in similar dosages. It is recommended that treatment is started with abacavir, lamivudine,and zidovudine separately for the first six to eight weeks. The choice of this fixed combination should be based not only on potential adherence criteria, but mainly on expected efficacy and risk related to the three nucleoside analogues.The demonstration of the benefit of Trizivir is mainly based on results of studies performed in treatment naive patients or moderately antiretroviral experienced patients with non-advanced disease.In patients with high viral load (>100,000 copies/ml) choice of therapy needs special consideration.Overall, the virologic suppression with this triple nucleoside regimen could be inferior to that obtained with other multitherapies notably including boosted protease inhibitors or non-nucleoside reverse-transcriptase inhibitors, therefore the use of Trizivir should only be considered under special circumstances (e.g. co-infection with tuberculosis).Before initiating treatment with abacavir, screening for carriage of the HLA-B*5701 allele should be performed in any HIV-infected patient, irrespective of racial origin. Screening is also recommended prior to re-initiation of abacavir in patients of unknown HLA-B*5701 status who have previously tolerated abacavir (see 'management after an interruption of Trizivir therapy'). Abacavir should not be used in patients known to carry the HLA-B*5701 allele, unless no other therapeutic option is available in these patients, based on the treatment history and resistance testing.",25/01/2018,29/11/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/trizivir,"['not found', 'JTEGQNOMFQHVDC-NKWVEPMBSA-N', 'HBOMLICNUCNMMY-XLPZGREQSA-N']",https://www.ema.europa.eu/en/documents/product-information/trizivir-epar-product-information_en.pdf
50,Human,Trixeo Aerosphere,"Pulmonary Disease, Chronic Obstructive","formoterol, glycopyrronium bromide, budesonide","['FORMOTEROL FUMARATE DIHYDRATE', 'GLYCOPYRRONIUM BROMIDE', 'BUDESONIDE']",EMEA/H/C/004983,no,Authorised,R03AL,no,no,no,no,no,no,09/12/2020,,AstraZeneca AB,"Drugs for obstructive airway diseases, ",15/10/2020,23/11/2023,5,Trixeo Aerosphere is indicated as a maintenance treatment in adult patients with moderate to severe chronic obstructive pulmonary disease (COPD) who are not adequately treated by a combination of an inhaled corticosteroid and a long acting beta2 agonist or combination of a long-acting beta2 agonist and a long acting muscarinic antagonist.,05/01/2021,29/11/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/trixeo-aerosphere,"['RATSWNOMCHFQGJ-AYJOUMQSSA-N', 'VPNYRYCIDCJBOM-QQTWVUFVSA-M', nan]",https://www.ema.europa.eu/en/documents/product-information/trixeo-aerosphere-epar-product-information_en.pdf
51,Human,Slenyto,Sleep Initiation and Maintenance Disorders;  Autistic Disorder,melatonin,['MELATONIN'],EMEA/H/C/004425,no,Authorised,N05CH01,no,no,no,no,no,no,20/09/2018,,RAD Neurim Pharmaceuticals EEC SARL,Psycholeptics,26/07/2018,24/11/2023,10,"Slenyto is indicated for the treatment of insomnia in children and adolescents aged 2-18 with Autism Spectrum Disorder (ASD) and / or Smith-Magenis syndrome, where sleep hygiene measures have been insufficient.",10/10/2018,29/11/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/slenyto,['DRLFMBDRBRZALE-UHFFFAOYSA-N'],https://www.ema.europa.eu/en/documents/product-information/slenyto-epar-product-information_en.pdf
