d,Cleaned Excipients,Indices,Excipients_Controlled
1012,['PLEASE SOURCE EXCIPIENTS MANUALLY'],[832],"['IRON OXIDE', 'TALC', 'POLYETHYLENE GLYCOL', 'TITANIUM DIOXIDE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'HYDROGENATED CASTOR OIL', 'GLYCEROL DIBEHENATE', 'CROSPOVIDONE', 'CALCIUM HYDROGEN PHOSPHATE']"
1049,['PLEASE SOURCE EXCIPIENTS MANUALLY'],[832],"['LACTOSE MONOHYDRATE', 'MICROCRYSTALLINE CELLULOSE', 'CROSCARMELLOSE SODIUM', 'POVIDONE', 'MAGNESIUM STEARATE', 'POLYVINYL ALCOHOL', 'TALC', 'POLYETHYLENE GLYCOL', 'ALLURA RED', 'TITANIUM DIOXIDE', 'LECITHIN']"
645,"['DIMETHYLACETAMIDE', 'MACROGOL 400.']","[2055, 971]","['DIMETHYLACETAMIDE', 'POLYETHYLENE GLYCOL']"
489,['HYDROCHLORIC ACID (FOR PH-ADJUSTMENT)'],[527],['HYDROCHLORIC ACID']
490,['HYDROCHLORIC ACID (FOR PH-ADJUSTMENT)'],[527],['HYDROCHLORIC ACID']
1196,"['BENZYL ALCOHOL', 'WATER FOR INJECTIONS']","[2677, 848]","['BENZYL ALCOHOL', 'WATER']"
1197,"['BENZYL ALCOHOL', 'WATER FOR INJECTIONS']","[2677, 848]","['BENZYL ALCOHOL', 'WATER']"
1198,"['BENZYL ALCOHOL', 'WATER FOR INJECTIONS']","[2677, 848]","['BENZYL ALCOHOL', 'WATER']"
205,"['SODIUM CHLORIDE', 'WATER FOR INJECTIONS']","[1845, 848]","['SODIUM CHLORIDE', 'WATER']"
258,"['SODIUM CHLORIDE', 'WATER FOR INJECTIONS']","[1845, 848]","['SODIUM CHLORIDE', 'WATER']"
331,"['BETADEX (E459)', 'DODECYLPHOSPHOCHOLINE']","[1939, 253]","['BETADEX', 'DODECYLPHOSPHOCHOLINE']"
808,"['SODIUM CHLORIDE', 'WATER FOR INJECTIONS']","[1845, 848]","['SODIUM CHLORIDE', 'WATER']"
1363,"['SODIUM CHLORIDE', 'WATER FOR INJECTIONS']","[1845, 848]","['SODIUM CHLORIDE', 'WATER']"
1366,"['SODIUM CHLORIDE', 'WATER FOR INJECTIONS']","[1845, 848]","['SODIUM CHLORIDE', 'WATER']"
1228,"['MACROGOL (E1521)', 'WATER FOR INJECTIONS']","[2730, 848]","['POLYETHYLENE GLYCOL', 'WATER']"
1619,"['MANNITOL (E 421)', 'WATER FOR INJECTIONS']","[778, 848]","['MANNITOL', 'WATER']"
425,"['HYDROCHLORIC ACID', 'WATER FOR INJECTIONS']","[2437, 848]","['HYDROCHLORIC ACID', 'WATER']"
900,"['LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE']","[2442, 834]","['LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE']"
901,"['LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE']","[2442, 834]","['LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE']"
905,"['LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE']","[2442, 834]","['LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE']"
907,"['LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE']","[2442, 834]","['LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE']"
931,"['LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE']","[2442, 834]","['LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE']"
1113,"['LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE']","[2442, 834]","['LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE']"
1114,"['LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE']","[2442, 834]","['LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE']"
1115,"['LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE']","[2442, 834]","['LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE']"
1337,"['LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE']","[2442, 834]","['LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE']"
787,"['GLYCEROL DIBEHENATE', 'LACTOSE MONOHYDRATE']","[1520, 2442]","['GLYCEROL DIBEHENATE', 'LACTOSE MONOHYDRATE']"
998,"['MANNITOL (E421)', 'SUCRALOSE', 'XANTHAN GUM']","[482, 2645, 1572]","['MANNITOL', 'SUCRALOSE', 'XANTHAN GUM']"
1450,"['POLY(D', 'L-LACTIDE)', 'N-METHYLPYRROLIDONE']","[290, 1420, 555]","[nan, 'POLYLACTIDE', 'N-METHYLPYRROLIDONE']"
1398,"['MANNITOL', 'SODIUM CITRATE', 'WATER FOR INJECTIONS']",[1388],"['MANNITOL', 'SODIUM CITRATE', 'WATER FOR INJECTIONS']"
90,"['HYDROCHLORIC ACID 30 %', 'WATER FOR INJECTIONS']","[716, 848]","['HYDROCHLORIC ACID', 'WATER']"
756,"['CALCIUM STEARATE', 'COLLOIDAL ANHYDROUS SILICA']","[1983, 2515]","['CALCIUM STEARATE', 'SILICON DIOXIDE, ANHYDROUS']"
89,"['PROPYLENE GLYCOL', 'GLYCEROL MONOSTEARATE 40-55']","[1218, 1682]","['PROPYLENE GLYCOL', 'GLYCEROL MONOSTEARATE']"
276,"['MANNITOL', 'PHOSPHORIC ACID (FOR PH-ADJUSTMENT)']","[606, 56]","['MANNITOL', 'PHOSPHORIC ACID']"
1116,"['LACTOSE MONOHYDRATE', '40', 'MAGNESIUM STEARATE']","[2442, 1087, 834]","['LACTOSE MONOHYDRATE', nan, 'MAGNESIUM STEARATE']"
1553,['SULFOBUTYLETHER BETA CYCLODEXTRIN SODIUM (SBECD)'],[1311],['BETADEX SULFOBUTYL ETHER SODIUM']
692,"['SOLVENT', 'ETHANOL', 'ANHYDROUS', 'POLYSORBATE 80']","[916, 1419, 1962, 706]","[nan, 'ETHANOL', nan, 'POLYSORBATE']"
693,"['SOLVENT', 'ETHANOL', 'ANHYDROUS', 'POLYSORBATE 80']","[916, 1419, 1962, 706]","[nan, 'ETHANOL', nan, 'POLYSORBATE']"
1397,"['HYDROCHLORIC ACID (0.1 N)', 'WATER FOR INJECTIONS']","[2367, 848]","['HYDROCHLORIC ACID', 'WATER']"
1558,"['MANNITOL', 'HYDROCHLORIC ACID', 'SODIUM HYDROXIDE']","[606, 2437, 1643]","['MANNITOL', 'HYDROCHLORIC ACID', 'SODIUM HYDROXIDE']"
121,"['MANNITOL', 'SODIUM CITRATE', 'WATER FOR INJECTIONS']","[606, 513, 848]","['MANNITOL', 'SODIUM CITRATE', 'WATER']"
155,"['POLYSORBATE 80', 'ETHANOL ANHYDROUS', 'CITRIC ACID']","[706, 1157, 2498]","['POLYSORBATE', 'ETHANOL', 'CITRIC ACID']"
156,"['POLYSORBATE 80', 'ETHANOL ANHYDROUS', 'CITRIC ACID']","[706, 1157, 2498]","['POLYSORBATE', 'ETHANOL', 'CITRIC ACID']"
157,"['POLYSORBATE 80', 'ETHANOL ANHYDROUS', 'CITRIC ACID']","[706, 1157, 2498]","['POLYSORBATE', 'ETHANOL', 'CITRIC ACID']"
225,"['MANNITOL', 'SODIUM CITRATE', 'WATER FOR INJECTIONS']","[606, 513, 848]","['MANNITOL', 'SODIUM CITRATE', 'WATER']"
227,"['MANNITOL', 'SODIUM CITRATE', 'WATER FOR INJECTIONS']","[606, 513, 848]","['MANNITOL', 'SODIUM CITRATE', 'WATER']"
256,"['MANNITOL', 'SODIUM CITRATE', 'WATER FOR INJECTIONS']","[606, 513, 848]","['MANNITOL', 'SODIUM CITRATE', 'WATER']"
326,"['MANNITOL', 'SODIUM CITRATE', 'WATER FOR INJECTIONS']","[606, 513, 848]","['MANNITOL', 'SODIUM CITRATE', 'WATER']"
327,"['MANNITOL', 'SODIUM CITRATE', 'WATER FOR INJECTIONS']","[606, 513, 848]","['MANNITOL', 'SODIUM CITRATE', 'WATER']"
411,"['MANNITOL', 'SODIUM CITRATE', 'WATER FOR INJECTIONS']","[606, 513, 848]","['MANNITOL', 'SODIUM CITRATE', 'WATER']"
493,"['MANNITOL', 'SODIUM CITRATE', 'WATER FOR INJECTIONS']","[606, 513, 848]","['MANNITOL', 'SODIUM CITRATE', 'WATER']"
494,"['MANNITOL', 'SODIUM CITRATE', 'WATER FOR INJECTIONS']","[606, 513, 848]","['MANNITOL', 'SODIUM CITRATE', 'WATER']"
1524,"['POLYSORBATE 80', 'ETHANOL ANHYDROUS', 'CITRIC ACID']","[706, 1157, 2498]","['POLYSORBATE', 'ETHANOL', 'CITRIC ACID']"
1525,"['POLYSORBATE 80', 'ETHANOL ANHYDROUS', 'CITRIC ACID']","[706, 1157, 2498]","['POLYSORBATE', 'ETHANOL', 'CITRIC ACID']"
1526,"['POLYSORBATE 80', 'ETHANOL ANHYDROUS', 'CITRIC ACID']","[706, 1157, 2498]","['POLYSORBATE', 'ETHANOL', 'CITRIC ACID']"
344,['LACTOSE MONOHYDRATE (WHICH CONTAINS MILK PROTEINS).'],[1752],['LACTOSE MONOHYDRATE']
345,['LACTOSE MONOHYDRATE (WHICH CONTAINS MILK PROTEINS).'],[1752],['LACTOSE MONOHYDRATE']
346,['LACTOSE MONOHYDRATE (WHICH CONTAINS MILK PROTEINS).'],[1752],['LACTOSE MONOHYDRATE']
347,['LACTOSE MONOHYDRATE (WHICH CONTAINS MILK PROTEINS).'],[1752],['LACTOSE MONOHYDRATE']
450,"['ASPARTAME (E951)', 'MALTODEXTRIN', 'MANNITOL (E421)']","[744, 824, 482]","['ASPARTAME', 'MALTODEXTRIN', 'MANNITOL']"
504,"['MANNITOL', 'SODIUM HYDROXIDE 2% (FOR PH ADJUSTMENT)']","[606, 562]","['MANNITOL', 'SODIUM HYDROXIDE']"
124,"['POTASSIUM SORBATE', 'SORBITOL E420', 'PURIFIED WATER']","[2415, 256, 1045]","['POTASSIUM SORBATE', 'SORBITOL', 'WATER']"
601,"['NONE', '11', 'MEDICINAL PRODUCT NO LONGER AUTHORISED']","[447, 2021, 395]","[nan, nan, nan]"
602,"['NONE', '23', 'MEDICINAL PRODUCT NO LONGER AUTHORISED']","[447, 1266, 395]","[nan, nan, nan]"
1211,"['MANNITOL (E421)', 'SULFURIC ACID (FOR PH-ADJUSTMENT)']","[482, 1141]","['MANNITOL', 'SULFURIC ACID']"
360,"['POTASSIUM SORBATE', 'SORBITOL E 420', 'PURIFIED WATER']","[2415, 649, 1045]","['POTASSIUM SORBATE', 'SORBITOL', 'WATER']"
464,"['POWDER', 'MANNITOL', 'SOLVENT', 'WATER FOR INJECTIONS']","[412, 606, 916, 848]","[nan, 'MANNITOL', nan, 'WATER']"
1057,"['ASPARTAME (E951)', 'SUCROSE', 'ORANGE VANILLA FLAVOUR']","[744, 105, 437]","['ASPARTAME', 'SUCROSE', 'FLAVOUR']"
1578,"['POTASSIUM SORBATE', 'SORBITOL E 420', 'PURIFIED WATER']","[2415, 649, 1045]","['POTASSIUM SORBATE', 'SORBITOL', 'WATER']"
294,['LACTOSE MONOHYDRATE (WHICH MAY INCLUDE MILK PROTEINS).'],[2748],['LACTOSE MONOHYDRATE']
295,['LACTOSE MONOHYDRATE (WHICH MAY INCLUDE MILK PROTEINS).'],[2748],['LACTOSE MONOHYDRATE']
452,"['MAGNESIUM CHLORIDE HEXAHYDRATE', 'WATER FOR INJECTIONS']","[468, 848]","['MAGNESIUM CHLORIDE HEXAHYDRATE', 'WATER']"
486,"['WHITE SOFT PARAFFIN', 'BUTYLATED HYDROXYTOLUENE (E321)']","[1121, 2711]","['PETROLATUM', 'BUTYLHYDROXYTOLUENE']"
789,"['GELATIN', 'MANNITOL (E421)', 'MINT FLAVOUR', 'SUCRALOSE']","[2474, 482, 2385, 2645]","['GELATIN', 'MANNITOL', 'FLAVOUR', 'SUCRALOSE']"
1186,"['SODIUM CHLORIDE', 'ARGININE', 'CITRIC ACID', 'ANHYDROUS']","[1845, 1185, 2498, 1962]","['SODIUM CHLORIDE', 'ARGININE', 'CITRIC ACID', nan]"
1569,"['SULPHOBUTYLETHER BETA CYCLODEXTRIN SODIUM (SBECD)', '31']","[2010, 176]","['BETADEX SULFOBUTYL ETHER SODIUM', nan]"
64,"['MANNITOL', 'HYDROCHLORIC ACID 1M', 'WATER FOR INJECTIONS']","[606, 998, 848]","['MANNITOL', 'HYDROCHLORIC ACID', 'WATER']"
65,"['MANNITOL', 'HYDROCHLORIC ACID 1M', 'WATER FOR INJECTIONS']","[606, 998, 848]","['MANNITOL', 'HYDROCHLORIC ACID', 'WATER']"
576,"['ETHANOL', 'ANHYDROUS (E1510)', 'PROPYLENE GLYCOL (E1520)']","[1419, 2714, 72]","['ETHANOL', nan, 'PROPYLENE GLYCOL']"
1472,"['19', 'POLYSORBATE 80', 'CITRIC ACID', 'ETHANOL ANHYDROUS']","[47, 706, 2498, 1157]","[nan, 'POLYSORBATE', 'CITRIC ACID', 'ETHANOL']"
1606,"['MANNITOL', 'HYDROCHLORIC ACID 1M', 'WATER FOR INJECTIONS']","[606, 998, 848]","['MANNITOL', 'HYDROCHLORIC ACID', 'WATER']"
1607,"['MANNITOL', 'HYDROCHLORIC ACID 1M', 'WATER FOR INJECTIONS']","[606, 998, 848]","['MANNITOL', 'HYDROCHLORIC ACID', 'WATER']"
82,"['MANNITOL (E421)', 'SODIUM CITRATE', 'WATER FOR INJECTIONS']","[482, 513, 848]","['MANNITOL', 'SODIUM CITRATE', 'WATER']"
211,"['CROSPOVIDONE TYPE B', 'MANNITOL', 'SODIUM STEARYL FUMARATE']","[2574, 606, 1217]","['CROSPOVIDONE', 'MANNITOL', 'SODIUM STEARYL FUMARATE']"
1069,['HYDROXYPROPYLBETADEX ETHANOL (96 PER CENT)  PURIFIED WATER'],[1995],['HYDROXYPROPYLBETADEX']
132,"['POLYSORBATE 80', 'ETHANOL ANHYDROUS', 'CITRIC ACID ANHYDROUS']","[706, 1157, 490]","['POLYSORBATE', 'ETHANOL', 'CITRIC ACID']"
146,"['CAPSULE CONTENT', 'LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE']","[2422, 2442, 834]","[nan, 'LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE']"
221,"['CAPSULE CONTENT', 'LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE']","[2422, 2442, 834]","[nan, 'LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE']"
228,"['CAPSULE CONTENT', 'LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE']","[2422, 2442, 834]","[nan, 'LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE']"
284,"['CAPSULE CONTENT', 'LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE']","[2422, 2442, 834]","[nan, 'LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE']"
289,"['CAPSULE CONTENT', 'LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE']","[2422, 2442, 834]","[nan, 'LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE']"
460,"['CAPSULE CONTENT', 'LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE']","[2422, 2442, 834]","[nan, 'LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE']"
1126,"['POWDER', 'MANNITOL (E421)', 'SOLVENT', 'WATER FOR INJECTIONS']","[412, 482, 916, 848]","[nan, 'MANNITOL', nan, 'WATER']"
1165,"['POWDER', 'NO EXCIPIENTS.', 'SOLVENT', 'ETHANOL', 'ANHYDROUS.']","[412, 2213, 916, 1419, 2268]","[nan, nan, nan, 'ETHANOL', nan]"
1360,"['MANNITOL', 'SORBITOL', 'SODIUM HYDROXIDE (FOR PH-ADJUSTMENT)']","[606, 2049, 266]","['MANNITOL', 'SORBITOL', 'SODIUM HYDROXIDE']"
501,"['GENTISIC ACID', 'SODIUM ACETATE TRIHYDRATE', 'SODIUM CHLORIDE']","[1170, 279, 1845]","['GENTISIC ACID', 'SODIUM ACETATE TRIHYDRATE', 'SODIUM CHLORIDE']"
595,"['SODIUM HYDROXIDE', 'HYDROCHLORIC ACID', 'WATER FOR INJECTIONS']","[1643, 2437, 848]","['SODIUM HYDROXIDE', 'HYDROCHLORIC ACID', 'WATER']"
1199,"['SUCROSE', 'SODIUM CHLORIDE', 'SODIUM HYDROXIDE (PH ADJUSTMENT)']","[105, 1845, 2297]","['SUCROSE', 'SODIUM CHLORIDE', 'SODIUM HYDROXIDE']"
670,"['POVIDONE K 29/32', 'CROSCARMELLOSE SODIUM', 'MAGNESIUM STEARATE']","[1320, 399, 834]","['POVIDONE', 'CROSCARMELLOSE SODIUM', 'MAGNESIUM STEARATE']"
671,"['POVIDONE K 29/32', 'CROSCARMELLOSE SODIUM', 'MAGNESIUM STEARATE']","[1320, 399, 834]","['POVIDONE', 'CROSCARMELLOSE SODIUM', 'MAGNESIUM STEARATE']"
672,"['POVIDONE K 29/32', 'CROSCARMELLOSE SODIUM', 'MAGNESIUM STEARATE']","[1320, 399, 834]","['POVIDONE', 'CROSCARMELLOSE SODIUM', 'MAGNESIUM STEARATE']"
1635,"['POVIDONE K 29/32', 'CROSCARMELLOSE SODIUM', 'MAGNESIUM STEARATE']","[1320, 399, 834]","['POVIDONE', 'CROSCARMELLOSE SODIUM', 'MAGNESIUM STEARATE']"
1636,"['POVIDONE K 29/32', 'CROSCARMELLOSE SODIUM', 'MAGNESIUM STEARATE']","[1320, 399, 834]","['POVIDONE', 'CROSCARMELLOSE SODIUM', 'MAGNESIUM STEARATE']"
1637,"['POVIDONE K 29/32', 'CROSCARMELLOSE SODIUM', 'MAGNESIUM STEARATE']","[1320, 399, 834]","['POVIDONE', 'CROSCARMELLOSE SODIUM', 'MAGNESIUM STEARATE']"
1638,"['POVIDONE K 29/32', 'CROSCARMELLOSE SODIUM', 'MAGNESIUM STEARATE']","[1320, 399, 834]","['POVIDONE', 'CROSCARMELLOSE SODIUM', 'MAGNESIUM STEARATE']"
63,"['ACETIC ACID', 'SODIUM ACETATE', 'ETHANOL', 'WATER FOR INJECTIONS']","[324, 2234, 1419, 848]","['ACETIC ACID', 'SODIUM ACETATE', 'ETHANOL', 'WATER']"
472,"['POLYSORBATE 80', 'ETHANOL (ANHYDROUS)', 'CITRIC ACID MONOHYDRATE']","[706, 742, 691]","['POLYSORBATE', 'ETHANOL', 'CITRIC ACID']"
9,"['ETHANOL ANHYDROUS', 'HYDROCHLORIC ACID', 'NORFLURANE (PROPELLANT)']","[1157, 2437, 727]","['ETHANOL', 'HYDROCHLORIC ACID', 'NORFLURANE']"
805,"['ETHANOL ANHYDROUS', 'HYDROCHLORIC ACID', 'NORFLURANE (PROPELLANT)']","[1157, 2437, 727]","['ETHANOL', 'HYDROCHLORIC ACID', 'NORFLURANE']"
1602,"['ETHANOL ANHYDROUS', 'HYDROCHLORIC ACID', 'NORFLURANE (PROPELLANT)']","[1157, 2437, 727]","['ETHANOL', 'HYDROCHLORIC ACID', 'NORFLURANE']"
1603,"['ETHANOL ANHYDROUS', 'HYDROCHLORIC ACID', 'NORFLURANE (PROPELLANT)']","[1157, 2437, 727]","['ETHANOL', 'HYDROCHLORIC ACID', 'NORFLURANE']"
38,"['CITRIC ACID MONOHYDRATE', 'SODIUM CITRATE', 'WATER FOR INJECTIONS.']","[691, 513, 2136]","['CITRIC ACID', 'SODIUM CITRATE', 'WATER']"
130,"['CITRIC ACID MONOHYDRATE', 'SODIUM CITRATE', 'WATER FOR INJECTIONS.']","[691, 513, 2136]","['CITRIC ACID', 'SODIUM CITRATE', 'WATER']"
272,"['CAPSULE CONTENT', 'LACTOSE MONOHYDRATE', 'CAPSULE SHELL', 'GELATIN']","[2422, 2442, 574, 2474]","[nan, 'LACTOSE MONOHYDRATE', nan, 'GELATIN']"
273,"['CAPSULE CONTENT', 'LACTOSE MONOHYDRATE', 'CAPSULE SHELL', 'GELATIN']","[2422, 2442, 574, 2474]","[nan, 'LACTOSE MONOHYDRATE', nan, 'GELATIN']"
280,"['CAPSULE CONTENT', 'LACTOSE MONOHYDRATE', 'CAPSULE SHELL', 'GELATIN']","[2422, 2442, 574, 2474]","[nan, 'LACTOSE MONOHYDRATE', nan, 'GELATIN']"
281,"['CAPSULE CONTENT', 'LACTOSE MONOHYDRATE', 'CAPSULE SHELL', 'GELATIN']","[2422, 2442, 574, 2474]","[nan, 'LACTOSE MONOHYDRATE', nan, 'GELATIN']"
282,"['CAPSULE CONTENT', 'LACTOSE MONOHYDRATE', 'CAPSULE SHELL', 'GELATIN']","[2422, 2442, 574, 2474]","[nan, 'LACTOSE MONOHYDRATE', nan, 'GELATIN']"
283,"['CAPSULE CONTENT', 'LACTOSE MONOHYDRATE', 'CAPSULE SHELL', 'GELATIN']","[2422, 2442, 574, 2474]","[nan, 'LACTOSE MONOHYDRATE', nan, 'GELATIN']"
590,"['ETHANOL ANHYDROUS', 'POLYSORBATE 80', 'CITRIC ACID (PH ADJUSTMENT)']","[1157, 706, 195]","['ETHANOL', 'POLYSORBATE', 'CITRIC ACID']"
591,"['ETHANOL ANHYDROUS', 'POLYSORBATE 80', 'CITRIC ACID (PH ADJUSTMENT)']","[1157, 706, 195]","['ETHANOL', 'POLYSORBATE', 'CITRIC ACID']"
592,"['ETHANOL ANHYDROUS', 'POLYSORBATE 80', 'CITRIC ACID (PH ADJUSTMENT)']","[1157, 706, 195]","['ETHANOL', 'POLYSORBATE', 'CITRIC ACID']"
1583,"['CITRIC ACID MONOHYDRATE', 'SODIUM HYDROXIDE', 'WATER FOR INJECTIONS']","[691, 1643, 848]","['CITRIC ACID', 'SODIUM HYDROXIDE', 'WATER']"
1629,"['CITRIC ACID MONOHYDRATE', 'SODIUM HYDROXIDE', 'WATER FOR INJECTIONS']","[691, 1643, 848]","['CITRIC ACID', 'SODIUM HYDROXIDE', 'WATER']"
1630,"['CITRIC ACID MONOHYDRATE', 'SODIUM HYDROXIDE', 'WATER FOR INJECTIONS']","[691, 1643, 848]","['CITRIC ACID', 'SODIUM HYDROXIDE', 'WATER']"
599,"['HYDROCHLORIC ACID (E507) (FOR PH ADJUSTMENT)', 'WATER FOR INJECTIONS']","[2507, 848]","['HYDROCHLORIC ACID', 'WATER']"
600,"['HYDROCHLORIC ACID (E507) (FOR PH ADJUSTMENT)', 'WATER FOR INJECTIONS']","[2507, 848]","['HYDROCHLORIC ACID', 'WATER']"
