Column1,Category,Medicine name,Therapeutic area,International non-proprietary name (INN) / common name,Active substance,Product number,Patient safety,Authorisation status,ATC code,Additional monitoring,Generic,Conditional approval,Exceptional circumstances,Accelerated assessment,Orphan medicine,Marketing authorisation date,Date of refusal of marketing authorisation,Marketing authorisation holder/company name,Human pharmacotherapeutic group,Date of opinion,Decision date,Revision number,Condition / indication,First published,Revision date,URL,InChI_Keys
207,Human,Pedmarqsi,Ear Diseases;  Ototoxicity,sodium thiosulfate,['SODIUM THIOSULFATE'],EMEA/H/C/005130,no,Authorised,,no,no,no,no,no,no,26/05/2023,,Fennec Pharmaceuticals (EU) Limited,All other therapeutic products,,20/10/2023,1,"Pedmarqsi is indicated for the prevention of ototoxicity induced by cisplatin chemotherapy in patients 1 month to < 18 years of age with localised, non-metastatic, solid tumours.",02/06/2023,25/10/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/pedmarqsi,['not found']
227,Human,Cancidas (previously Caspofungin MSD),Candidiasis;  Aspergillosis,caspofungin,['CASPOFUNGIN (AS ACETATE)'],EMEA/H/C/000379,no,Authorised,J02AX04,no,no,no,no,no,no,23/10/2001,,Merck Sharp & Dohme B.V.,Antimycotics for systemic use,26/07/2001,09/10/2023,32,"Treatment of invasive candidiasis in adult or paediatric patients;treatment of invasive aspergillosis in adult or paediatric patients who are refractory to or intolerant of amphotericin B, lipid formulations of amphotericin B and / or itraconazole. Refractoriness is defined as progression of infection or failure to improve after a minimum of seven days of prior therapeutic doses of effective antifungal therapy;empirical therapy for presumed fungal infections (such as Candida or Aspergillus) in febrile, neutropaenic adult or paediatric patients.",15/02/2017,19/10/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/cancidas-previously-caspofungin-msd,['not found']
238,Human,Filsuvez,"Epidermolysis Bullosa Dystrophica;  Epidermolysis Bullosa, Junctional",birch bark extract,"['DRY EXTRACT FROM BIRCH BARK (DER 5-10 : 1)', 'EXTRACTION SOLVENT N-HEPTANE 95% (W/W)']",EMEA/H/C/005035,no,Authorised,D03AX13,no,no,no,no,no,yes,21/06/2022,,Amryt Pharmaceuticals DAC,Preparations for treatment of wounds and ulcers,22/04/2022,17/10/2023,2,Treatment of partial thickness wounds associated with dystrophic and junctional epidermolysis bullosa (EB) in patients 6 months and older.,13/04/2022,17/10/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/filsuvez,"['not found', 'not found']"
240,Human,Zimbus Breezhaler,Asthma,"indacaterol, glycopyrronium, mometasone furoate","['GLYCOPYRRONIUM BROMIDE', 'INDACATEROL (ACETATE)', 'MOMETASONE FUROATE']",EMEA/H/C/005518,no,Authorised,R03AL,no,no,no,no,no,no,03/07/2020,,Novartis Europharm Limited,"Drugs for obstructive airway diseases, ",30/04/2020,07/09/2023,4,Maintenance treatment of asthma in adults whose disease is not adequately controlled.,02/09/2020,16/10/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/zimbus-breezhaler,"['VPNYRYCIDCJBOM-QQTWVUFVSA-M', 'not found', 'WOFMFGQZHJDGCX-ZULDAHANSA-N']"
248,Human,Farydak,Multiple Myeloma,panobinostat,['PANOBINOSTAT LACTATE ANHYDROUS'],EMEA/H/C/003725,no,Authorised,L01XH03,no,no,no,no,no,yes,28/08/2015,,pharmaand GmbH,Antineoplastic agents,25/06/2015,12/10/2023,13,"Farydak, in combination with bortezomib and dexamethasone, is indicated for the treatment of adult patients with relapsed and/or refractory multiple myeloma who have received at least two prior regimens including bortezomib and an immunomodulatory agent.Farydak, in combination with bortezomib and dexamethasone, is indicated for the treatment of adult patients with relapsed and/or refractory multiple myeloma who have received at least two prior regimens including bortezomib and an immunomodulatory agent.",18/06/2018,13/10/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/farydak,['not found']
258,Human,Breyanzi,"Lymphoma, Large B-Cell, Diffuse;  Lymphoma, Follicular;  Mediastinal Neoplasms",lisocabtagene maraleucel,"['CD19-DIRECTED GENETICALLY MODIFIED AUTOLOGOUS CELL-BASED PRODUCT CONSISTING OF PURIFIED CD8+ T-CELLS (CD8+ CELLS)', 'CD19-DIRECTED GENETICALLY MODIFIED AUTOLOGOUS CELL-BASED PRODUCT CONSISTING OF PURIFIED CD4+ T CELLS (CD4+ CELLS)']",EMEA/H/C/004731,no,Authorised,L01,yes,no,no,no,no,no,04/04/2022,,Bristol-Myers Squibb Pharma EEIG,Antineoplastic agents,27/01/2022,11/10/2023,2,"Breyanzi is indicated for the treatment of adult patients with diffuse large B-cell lymphoma (DLBCL), high grade B-cell lymphoma (HGBCL), primary mediastinal large B-cell lymphoma (PMBCL) and follicular lymphoma grade 3B (FL3B), who relapsed within 12 months from completion of, or are refractory to, first-line chemoimmunotherapy.",24/01/2022,11/10/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/breyanzi,"['not found', 'not found']"
264,Human,Cabometyx ,"Carcinoma, Renal Cell;  Carcinomas, Hepatocellular",cabozantinib,['CABOZANTINIB (S)-MALATE'],EMEA/H/C/004163,no,Authorised,L01EX07,no,no,no,no,yes,no,09/09/2016,,Ipsen Pharma,Antineoplastic agents,21/07/2016,06/10/2023,18,"Renal Cell Carcinoma (RCC)Cabometyx is indicated as monotherapy for the treatment of advanced renal cell carcinoma (RCC):in treatment-naïve adults with intermediate or poor risk,in adults following prior vascular endothelial growth factor (VEGF)-targeted therapy.Cabometyx, in combination with nivolumab, is indicated for the first-line treatment of advanced renal cell carcinoma in adults.Hepatocellular Carcinoma (HCC)Cabometyx is indicated as monotherapy for the treatment of hepatocellular carcinoma (HCC) in adults who have previously been treated with sorafenib.",08/05/2018,10/10/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/cabometyx,['not found']
283,Human,Colobreathe,Cystic Fibrosis,colistimethate sodium,['COLISTIMETHATE SODIUM'],EMEA/H/C/001225,no,Authorised,J01XB01,no,no,no,no,no,no,13/02/2012,,Teva B.V.,"Antibacterials for systemic use, ",,03/10/2023,16,Colobreathe is indicated for the management of chronic pulmonary infections due to Pseudomonas aeruginosa in patients with cystic fibrosis (CF) aged six years and older.Consideration should be given to official guidance on the appropriate use of antibacterial agents. ,08/08/2018,04/10/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/colobreathe,['not found']
288,Human,Adrovance,"Osteoporosis, Postmenopausal","alendronic acid, colecalciferol","['COLECALCIFEROL', 'ALENDRONIC ACID (AS SODIUM TRIHYDRATE)']",EMEA/H/C/000759,no,Authorised,M05BB03,no,no,no,no,no,no,04/01/2007,,N.V. Organon,Drugs for treatment of bone diseases,18/10/2006,04/10/2023,25,Treatment of postmenopausal osteoporosis in patients at risk of vitamin-D insufficiency.Adrovance reduces the risk of vertebral and hip fractures.,06/07/2018,04/10/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/adrovance,"['QYSXJUFSXHHAJI-YHJXBONMSA-N', 'not found']"
295,Human,Foclivia,"Influenza, Human;  Immunization;  Disease Outbreaks","pandemic influenza vaccine (H5N1) (surface antigen, inactivated, adjuvanted)","['INFLUENZA VIRUS SURFACE ANTIGENS', 'INACTIVATED: A/VIET NAM/1194/2004 (H5N1)']",EMEA/H/C/001208,no,Authorised,J07BB02,no,no,no,yes,no,no,18/10/2009,,Seqirus S.r.l. ,Influenza vaccines,23/07/2009,16/08/2023,13,Prophylaxis of influenza in an officially declared pandemic situation.Pandemic influenza vaccine should be used in accordance with official guidance.,03/11/2016,03/10/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/foclivia,"['not found', 'not found']"
317,Human,Vosevi,"Hepatitis C, Chronic","sofosbuvir, velpatasvir, voxilaprevi","['SOFOSBUVIR', 'VELPATASVIR', 'VOXILAPREVI']",EMEA/H/C/004350,no,Authorised,J05A,no,no,no,no,no,no,26/07/2017,,Gilead Sciences Ireland UC,Antivirals for systemic use,22/06/2017,07/08/2023,16,"Vosevi is indicated for the treatment of chronic hepatitis C virus (HCV) infection in patients aged 12 years and older and weighing at least 30 kg. (see sections 4.2, 4.4 and 5.1).",14/06/2018,27/09/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/vosevi,"['TTZHDVOVKQGIBA-IQWMDFIBSA-N', 'FHCUMDQMBHQXKK-CDIODLITSA-N', 'not found']"
340,Human,LysaKare,Radiation Injuries,"arginine, lysine","['L-ARGININE HYDROCHLORIDE', 'L-LYSINE HYDROCHLORIDE']",EMEA/H/C/004541,no,Authorised,V03AF11,no,no,no,no,no,no,25/07/2019,,Advanced Accelerator Applications,Detoxifying agents for antineoplastic treatment,29/05/2019,19/09/2023,4,LysaKare is indicated for reduction of renal radiation exposure during Peptide-Receptor Radionuclide Therapy (PRRT) with lutetium (177Lu) oxodotreotide in adults.,30/07/2019,22/09/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/lysakare,['not found']
353,Human,Tenkasi (previously Orbactiv),"Soft Tissue Infections;  Skin Diseases, Bacterial",oritavancin,['ORITAVANCIN (DIPHOSPHATE)'],EMEA/H/C/003785,no,Authorised,J01XA05,no,no,no,no,no,no,19/03/2015,,Menarini International Operations Luxembourg S.A.,"Antibacterials for systemic use, ",,15/09/2023,14,"Tenkasi is indicated for the treatment of acute bacterial skin and skin structure infections (ABSSSI) in adults and paediatric patients aged 3 months and older (see sections 4.2, 4.4 and 5.1).Consideration should be given to official guidance on the appropriate use of antibacterial agents.",25/06/2018,22/09/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/tenkasi-previously-orbactiv,['not found']
366,Human,Strimvelis,Severe Combined Immunodeficiency,autologous CD34+ enriched cell fraction that contains CD34+ cells transduced with retroviral vector that encodes for the human ADA cDNA sequence,['AUTOLOGOUS CD34+ ENRICHED CELL FRACTION THAT CONTAINS CD34+ CELLS TRANSDUCED WITH RETROVIRAL VECTOR THAT ENCODES FOR THE HUMAN ADENOSINE DEAMINASE (ADA) CDNA SEQUENCE FROM HUMAN HAEMATOPOIETIC STEM/PROGENITOR (CD34+) CELLS'],EMEA/H/C/003854,no,Authorised,L03,yes,no,no,no,no,yes,26/05/2016,,Fondazione Telethon ETS,"Immunostimulants, ",31/03/2016,17/07/2023,9,"Strimvelis is indicated for the treatment of patients with severe combined immunodeficiency due to adenosine deaminase deficiency (ADA-SCID), for whom no suitable human leukocyte antigen (HLA)-matched related stem cell donor is available (see section 4.2 and section 4.4).",23/08/2018,19/09/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/strimvelis,['not found']
415,Human,Zolsketil pegylated liposomal,"Ovarian Neoplasms;  Sarcoma, Kaposi;  Multiple Myeloma",doxorubicin,"['DOXORUBICIN HYDROCHLORIDE', 'LIPOSOMAL']",EMEA/H/C/005320,no,Authorised,L01DB01,no,no,no,no,no,no,31/05/2022,,Accord Healthcare S.L.U.,doxorubicin,24/03/2022,23/08/2023,2,"Zolsketil pegylated liposomal is a medicine used to treat the following types of cancer in adults:• breast cancer that has spread to other parts of the body in patients at risk of heart problems. Zolsketil pegylated liposomal is used on its own for this disease;• advanced ovarian cancer in women whose previous treatment including a platinum-based cancer medicine has stopped working;• multiple myeloma (a cancer of the white blood cells in the bone marrow), in patients with progressive disease who have received at least one other treatment in the past and have already had, or are unsuitable for, a bone marrow transplantation. Zolsketil pegylated liposomal is used in combination with bortezomib (another cancer medicine);• Kaposi’s sarcoma in patients with AIDS who have a very damaged immune system. Kaposi’s sarcoma is a cancer that causes abnormal tissue to grow under the skin, on moist body surfaces or on internal organs.Zolsketil pegylated liposomal contains the active substance doxorubicin and is a ‘hybrid medicine’. This means that it is similar to a ‘reference medicine’ containing the same active substance called Adriamycin. However, in Zolsketil pegylated liposomal the active substance is enclosed in tiny fatty spheres called liposomes, whereas this is not the case for Adriamycin.",20/06/2022,05/09/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/zolsketil-pegylated-liposomal,"['MWWSFMDVAYGXBV-RUELKSSGSA-N', 'not found']"
419,Human,Vumerity,"Multiple Sclerosis, Relapsing-Remitting",diroximel fumarate,['DIROXIMEL FUMARATE (BIIB098)'],EMEA/H/C/005437,no,Authorised,L04AX07,no,no,no,no,no,no,15/11/2021,,Biogen Netherlands B.V.,Immunosuppressants,16/09/2021,25/08/2023,4,Vumerity is indicated for the treatment of adult patients with relapsing remitting multiple sclerosis (see Section 5.1 for important information on the populations for which efficacy has been established).,14/09/2021,04/09/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/vumerity,['not found']
425,Human,Reyataz,HIV Infections,atazanavir sulfate,['ATAZANAVIR (AS SULFATE)'],EMEA/H/C/000494,no,Authorised,J05AE08,no,no,no,no,no,no,01/03/2004,,Bristol-Myers Squibb Pharma EEIG,Antivirals for systemic use,,25/08/2023,54,"Reyataz capsules, co-administered with low dose ritonavir, are indicated for the treatment of HIV-1 infected adults and paediatric patients 6 years of age and older in combination with other antiretroviral medicinal products (see section 4.2).Based on available virological and clinical data from adult patients, no benefit is expected in patients with strains resistant to multiple protease inhibitors (? 4 PI mutations).The choice of Reyataz in treatment experienced adult and paediatric patients should be based on individual viral resistance testing and the patient’s treatment history (see sections 4.4 and 5.1).Reyataz oral powder, co-administered with low dose ritonavir, is indicated in combination with other antiretroviral medicinal products for the treatment of HIV-1 infected paediatric patients at least 3 months of age and weighing at least 5 kg (see section 4.2).Based on available virological and clinical data from adult patients, no benefit is expected in patients with strains resistant to multiple protease inhibitors (? 4 PI mutations). The choice of Reyataz in treatment experienced adult and paediatric patients should be based on individual viral resistance testing and the patient’s treatment history (see sections 4.4 and 5.1).",22/02/2018,30/08/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/reyataz,['not found']
453,Human,Kinpeygo,"Glomerulonephritis, IGA",budesonide,"['BUDESONIDE', 'MICRONISED']",EMEA/H/C/005653,no,Authorised,A07EA06,yes,no,yes,no,no,yes,15/07/2022,,Stada Arzneimittel AG,"Antidiarrheals, intestinal antiinflammatory / antiinfective agents",19/05/2022,21/08/2023,5,Kinpeygo is indicated for the treatment of primary immunoglobulin A (IgA) nephropathy (IgAN) in adults at risk of rapid disease progression with a urine protein-to-creatinine ratio (UPCR) ?1.5 g/gram.,17/05/2022,21/08/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/kinpeygo,"[nan, 'not found']"
484,Human,Fluenz Tetra,"Influenza, Human","influenza vaccine (live attenuated, nasal)","['A/DARWIN/9/2021 (H3N2) - LIKE STRAIN (A/NORWAY/16606/2021', 'MEDI 355293) / A/VICTORIA/2570/2019 (H1N1)PDM09 - LIKE STRAIN (A/VICTORIA/1/2020', 'MEDI 340505) / B/AUSTRIA/1359417/2021 - LIKE STRAIN (B/AUSTRIA/1359417/2021', 'MEDI 355292) / B/PHUKET/3073/2013 - LIKE STRAIN (B/PHUKET/3073/2013', 'MEDI 306444)']",EMEA/H/C/002617,no,Authorised,J07BB03,no,no,no,no,no,no,04/12/2013,,AstraZeneca AB,"Influenza vaccines, Influenza, live attenuated",19/09/2013,28/07/2023,24,Prophylaxis of influenza in children and adolescents from 24 months to less than 18 years of age. The use of Fluenz Tetra should be based on official recommendations.,28/08/2018,07/08/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/fluenz-tetra,"['not found', 'not found', 'not found', 'not found', 'not found']"
486,Human,Flucelvax Tetra,"Influenza, Human","influenza vaccine (surface antigen, inactivated, prepared in cell cultures)","['A/DARWIN/6/2021(H3N2)-LIKE STRAIN (A/DARWIN/11/2021', 'WILD TYPE) / A/WISCONSIN/67/2022 (H1N1)PDM09-LIKE STRAIN (A/GEORGIA/12/2022 CVR-167) / B/AUSTRIA/1359417/2021-LIKE STRAIN (B/SINGAPORE/WUH4618/2021) / B/PHUKET/3073/2013-LIKE VIRUS (B/SINGAPORE/INFTT-16-0610/2016', 'WILD TYPE)']",EMEA/H/C/004814,no,Authorised,J07BB02,yes,no,no,no,no,no,12/12/2018,,Seqirus Netherlands B.V.,"influenza, inactivated, split virus or surface antigen",18/10/2018,24/07/2023,14,Prophylaxis of influenza in adults and children from 2 years of age.Flucelvax Tetra should be used in accordance with official recommendations.,19/10/2018,07/08/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/flucelvax-tetra,"['not found', 'not found', 'not found']"
506,Human,Xydalba,"Soft Tissue Infections;  Skin Diseases, Bacterial",dalbavancin,['DALBAVANCIN HYDROCHLORIDE'],EMEA/H/C/002840,no,Authorised,J01XA04,no,no,no,no,no,no,19/02/2015,,AbbVie Deutschland GmbH & Co. KG,"Antibacterials for systemic use, ",18/12/2014,09/12/2022,15,Treatment of acute bacterial skin and skin structure infections (ABSSSI) in adults.,17/03/2017,01/08/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/xydalba,['not found']
512,Human,Jakavi,Myeloproliferative Disorders;  Polycythemia Vera;  Graft vs Host Disease,ruxolitinib,['RUXOLITINIB (AS PHOSPHATE)'],EMEA/H/C/002464,no,Authorised,L01EJ01,no,no,no,no,no,no,23/08/2012,,Novartis Europharm Limited,Antineoplastic agents,19/04/2012,05/01/2023,28,"Myelofibrosis (MF)Jakavi is indicated for the treatment of disease related splenomegaly or symptoms in adult patients with primary myelofibrosis (also known as chronic idiopathic myelofibrosis), post polycythaemia vera myelofibrosis or post essential thrombocythaemia myelofibrosis.Polycythaemia vera (PV)Jakavi is indicated for the treatment of adult patients with polycythaemia vera who are resistant to or intolerant of hydroxyurea.Graft versus host disease (GvHD)Jakavi is indicated for the treatment of patients aged 12 years and older with acute graft versus host disease or chronic graft versus host disease who have inadequate response to corticosteroids or other systemic therapies (see section 5.1).",22/05/2018,31/07/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/jakavi,['not found']
