Column2,Column1,active_PSS,product,Substance_Name,Substance_Type,Molecular_Formula,Molecular_Weight,Inchikey,Comment,Created_Date,Last_Updated_Date,External_Code_XEVMPD,External_Code_SVG,External_Code_UNII,pss_inchi,IsomericSMILES
10,10,ACLIDINIUM BROMIDE,6,ACLIDINIUM BROMIDE,Chemical,C26H30NO4S2.Br,,XLAKJQPTOJHYDR-QTQXQZBYSA-M,,25/07/2019 11:55,01/08/2023 06:31,SUB71687,1,UQW7UF9N91,"InChI=1S/C26H30NO4S2.BrH/c28-25(26(29,23-9-4-17-32-23)24-10-5-18-33-24)31-22-19-27(14-11-20(22)12-15-27)13-6-16-30-21-7-2-1-3-8-21;/h1-5,7-10,17-18,20,22,29H,6,11-16,19H2;1H/q+1;/p-1/t20?,22-,27?;/m0./s1",C1C[N+]2(CCC1[C@H](C2)OC(=O)C(C3=CC=CS3)(C4=CC=CS4)O)CCCOC5=CC=CC=C5.[Br-]
11,11,FORMOTEROL FUMARATE DIHYDRATE,6,FORMOTEROL FUMARATE DIHYDRATE,Chemical,2C19H24N2O4.C4H4O4.2H2O,,RATSWNOMCHFQGJ-AYJOUMQSSA-N,,25/07/2019 11:55,18/12/2023 14:03,SUB25660,1,W34SHF8J2K,"InChI=1S/2C19H24N2O4.C4H4O4.2H2O/c2*1-13(9-14-3-6-16(25-2)7-4-14)20-11-19(24)15-5-8-18(23)17(10-15)21-12-22;5-3(6)1-2-4(7)8;;/h2*3-8,10,12-13,19-20,23-24H,9,11H2,1-2H3,(H,21,22);1-2H,(H,5,6)(H,7,8);2*1H2/b;;2-1+;;/t2*13-,19+;;;/m11.../s1",C[C@H](CC1=CC=C(C=C1)OC)NC[C@@H](C2=CC(=C(C=C2)O)NC=O)O.C[C@H](CC1=CC=C(C=C1)OC)NC[C@@H](C2=CC(=C(C=C2)O)NC=O)O.C(=C/C(=O)O)\C(=O)O.O.O
12,12,ACLIDINIUM BROMIDE,7,ACLIDINIUM BROMIDE,Chemical,C26H30NO4S2.Br,,XLAKJQPTOJHYDR-QTQXQZBYSA-M,,25/07/2019 11:55,01/08/2023 06:31,SUB71687,1,UQW7UF9N91,"InChI=1S/C26H30NO4S2.BrH/c28-25(26(29,23-9-4-17-32-23)24-10-5-18-33-24)31-22-19-27(14-11-20(22)12-15-27)13-6-16-30-21-7-2-1-3-8-21;/h1-5,7-10,17-18,20,22,29H,6,11-16,19H2;1H/q+1;/p-1/t20?,22-,27?;/m0./s1",C1C[N+]2(CCC1[C@H](C2)OC(=O)C(C3=CC=CS3)(C4=CC=CS4)O)CCCOC5=CC=CC=C5.[Br-]
13,13,FESOTERODINE FUMARATE,8,FESOTERODINE FUMARATE,Chemical,C26H37NO3.C4H4O4,,MWHXMIASLKXGBU-RNCYCKTQSA-N,,25/07/2019 11:55,12/07/2023 11:59,SUB70604,1,EOS72165S7,"InChI=1S/C26H37NO3.C4H4O4/c1-18(2)26(29)30-25-13-12-21(17-28)16-24(25)23(22-10-8-7-9-11-22)14-15-27(19(3)4)20(5)6;5-3(6)1-2-4(7)8/h7-13,16,18-20,23,28H,14-15,17H2,1-6H3;1-2H,(H,5,6)(H,7,8)/b;2-1+/t23-;/m1./s1",CC(C)C(=O)OC1=C(C=C(C=C1)CO)[C@H](CCN(C(C)C)C(C)C)C2=CC=CC=C2.C(=C/C(=O)O)\C(=O)O
14,14,DEFERASIROX,9,DEFERASIROX,Chemical,C21H15N3O4,,BOFQWVMAQOTZIW-UHFFFAOYSA-N,,25/07/2019 11:55,20/12/2023 12:16,SUB21981,1,V8G4MOF2V9,"InChI=1S/C21H15N3O4/c25-17-7-3-1-5-15(17)19-22-20(16-6-2-4-8-18(16)26)24(23-19)14-11-9-13(10-12-14)21(27)28/h1-12,25-26H,(H,27,28)",C1=CC=C(C(=C1)C2=NN(C(=N2)C3=CC=CC=C3O)C4=CC=C(C=C4)C(=O)O)O
15,15,DEFERASIROX,10,DEFERASIROX,Chemical,C21H15N3O4,,BOFQWVMAQOTZIW-UHFFFAOYSA-N,,25/07/2019 11:55,20/12/2023 12:16,SUB21981,1,V8G4MOF2V9,"InChI=1S/C21H15N3O4/c25-17-7-3-1-5-15(17)19-22-20(16-6-2-4-8-18(16)26)24(23-19)14-11-9-13(10-12-14)21(27)28/h1-12,25-26H,(H,27,28)",C1=CC=C(C(=C1)C2=NN(C(=N2)C3=CC=CC=C3O)C4=CC=C(C=C4)C(=O)O)O
16,16,TACROLIMUS MONOHYDRATE,11,TACROLIMUS MONOHYDRATE,Chemical,C44H69NO12.H2O,,NWJQLQGQZSIBAF-MLAUYUEBSA-N,,25/07/2019 11:55,21/12/2023 09:59,SUB23141,1,WM0HAQ4WNM,"InChI=1S/C44H69NO12.H2O/c1-10-13-31-19-25(2)18-26(3)20-37(54-8)40-38(55-9)22-28(5)44(52,57-40)41(49)42(50)45-17-12-11-14-32(45)43(51)56-39(29(6)34(47)24-35(31)48)27(4)21-30-15-16-33(46)36(23-30)53-7;/h10,19,21,26,28-34,36-40,46-47,52H,1,11-18,20,22-24H2,2-9H3;1H2/b25-19+,27-21+;/t26-,28+,29+,30-,31+,32-,33+,34-,36+,37-,38-,39+,40+,44+;/m0./s1",C[C@@H]1C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC(=O)[C@@H](/C=C(/C1)\C)CC=C)O)C)/C(=C/[C@@H]4CC[C@H]([C@@H](C4)OC)O)/C)O)C)OC)OC.O
17,17,TACROLIMUS MONOHYDRATE,12,TACROLIMUS MONOHYDRATE,Chemical,C44H69NO12.H2O,,NWJQLQGQZSIBAF-MLAUYUEBSA-N,,25/07/2019 11:55,21/12/2023 09:59,SUB23141,1,WM0HAQ4WNM,"InChI=1S/C44H69NO12.H2O/c1-10-13-31-19-25(2)18-26(3)20-37(54-8)40-38(55-9)22-28(5)44(52,57-40)41(49)42(50)45-17-12-11-14-32(45)43(51)56-39(29(6)34(47)24-35(31)48)27(4)21-30-15-16-33(46)36(23-30)53-7;/h10,19,21,26,28-34,36-40,46-47,52H,1,11-18,20,22-24H2,2-9H3;1H2/b25-19+,27-21+;/t26-,28+,29+,30-,31+,32-,33+,34-,36+,37-,38-,39+,40+,44+;/m0./s1",C[C@@H]1C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC(=O)[C@@H](/C=C(/C1)\C)CC=C)O)C)/C(=C/[C@@H]4CC[C@H]([C@@H](C4)OC)O)/C)O)C)OC)OC.O
18,18,PREGABALIN,13,PREGABALIN,Chemical,C8H17NO2,,AYXYPKUFHZROOJ-ZETCQYMHSA-N,,25/07/2019 11:55,20/12/2023 08:49,SUB10023MIG,1,55JG375S6M,"InChI=1S/C8H17NO2/c1-6(2)3-7(5-9)4-8(10)11/h6-7H,3-5,9H2,1-2H3,(H,10,11)/t7-/m0/s1",CC(C)C[C@@H](CC(=O)O)CN
19,19,IBANDRONATE SODIUM MONOHYDRATE,14,IBANDRONATE SODIUM MONOHYDRATE,Chemical,C9H22NO7P2.Na.H2O,,VBDRTGFACFYFCT-UHFFFAOYSA-M,,25/07/2019 11:55,18/12/2023 15:03,SUB12516MIG,1,J12U072QL0,"InChI=1S/C9H23NO7P2.Na.H2O/c1-3-4-5-7-10(2)8-6-9(11,18(12,13)14)19(15,16)17;;/h11H,3-8H2,1-2H3,(H2,12,13,14)(H2,15,16,17);;1H2/q;+1;/p-1",CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)[O-].O.[Na+]
20,20,IBANDRONATE SODIUM MONOHYDRATE,15,IBANDRONATE SODIUM MONOHYDRATE,Chemical,C9H22NO7P2.Na.H2O,,VBDRTGFACFYFCT-UHFFFAOYSA-M,,25/07/2019 11:55,18/12/2023 15:03,SUB12516MIG,1,J12U072QL0,"InChI=1S/C9H23NO7P2.Na.H2O/c1-3-4-5-7-10(2)8-6-9(11,18(12,13)14)19(15,16)17;;/h11H,3-8H2,1-2H3,(H2,12,13,14)(H2,15,16,17);;1H2/q;+1;/p-1",CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)[O-].O.[Na+]
21,21,ACLIDINIUM BROMIDE,16,ACLIDINIUM BROMIDE,Chemical,C26H30NO4S2.Br,,XLAKJQPTOJHYDR-QTQXQZBYSA-M,,25/07/2019 11:55,01/08/2023 06:31,SUB71687,1,UQW7UF9N91,"InChI=1S/C26H30NO4S2.BrH/c28-25(26(29,23-9-4-17-32-23)24-10-5-18-33-24)31-22-19-27(14-11-20(22)12-15-27)13-6-16-30-21-7-2-1-3-8-21;/h1-5,7-10,17-18,20,22,29H,6,11-16,19H2;1H/q+1;/p-1/t20?,22-,27?;/m0./s1",C1C[N+]2(CCC1[C@H](C2)OC(=O)C(C3=CC=CS3)(C4=CC=CS4)O)CCCOC5=CC=CC=C5.[Br-]
22,22,TENOFOVIR DISOPROXIL FUMARATE,17,TENOFOVIR DISOPROXIL FUMARATE,Chemical,C19H30N5O10P.C4H4O4,,VCMJCVGFSROFHV-WZGZYPNHSA-N,,25/07/2019 11:55,21/12/2023 10:13,SUB12607MIG,1,OTT9J7900I,"InChI=1S/C19H30N5O10P.C4H4O4/c1-12(2)33-18(25)28-9-31-35(27,32-10-29-19(26)34-13(3)4)11-30-14(5)6-24-8-23-15-16(20)21-7-22-17(15)24;5-3(6)1-2-4(7)8/h7-8,12-14H,6,9-11H2,1-5H3,(H2,20,21,22);1-2H,(H,5,6)(H,7,8)/b;2-1+/t14-;/m1./s1",C[C@H](CN1C=NC2=C(N=CN=C21)N)OCP(=O)(OCOC(=O)OC(C)C)OCOC(=O)OC(C)C.C(=C/C(=O)O)\C(=O)O
23,23,TENOFOVIR DISOPROXIL FUMARATE,18,TENOFOVIR DISOPROXIL FUMARATE,Chemical,C19H30N5O10P.C4H4O4,,VCMJCVGFSROFHV-WZGZYPNHSA-N,,25/07/2019 11:55,21/12/2023 10:13,SUB12607MIG,1,OTT9J7900I,"InChI=1S/C19H30N5O10P.C4H4O4/c1-12(2)33-18(25)28-9-31-35(27,32-10-29-19(26)34-13(3)4)11-30-14(5)6-24-8-23-15-16(20)21-7-22-17(15)24;5-3(6)1-2-4(7)8/h7-8,12-14H,6,9-11H2,1-5H3,(H2,20,21,22);1-2H,(H,5,6)(H,7,8)/b;2-1+/t14-;/m1./s1",C[C@H](CN1C=NC2=C(N=CN=C21)N)OCP(=O)(OCOC(=O)OC(C)C)OCOC(=O)OC(C)C.C(=C/C(=O)O)\C(=O)O
24,24,LEVOFLOXACIN HEMIHYDRATE,19,LEVOFLOXACIN HEMIHYDRATE,Chemical,2C18H20FN3O4.H2O,,SUIQUYDRLGGZOL-RCWTXCDDSA-N,,25/07/2019 11:55,19/12/2023 14:08,SUB21640,1,6GNT3Y5LMF,"InChI=1S/2C18H20FN3O4.H2O/c2*1-10-9-26-17-14-11(16(23)12(18(24)25)8-22(10)14)7-13(19)15(17)21-5-3-20(2)4-6-21;/h2*7-8,10H,3-6,9H2,1-2H3,(H,24,25);1H2/t2*10-;/m00./s1",C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O.C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O.O
25,25,DIMETHYL FUMARATE,20,DIMETHYL FUMARATE,Chemical,C6H8O4,,LDCRTTXIJACKKU-ONEGZZNKSA-N,,25/07/2019 11:55,20/12/2023 13:31,SUB13608MIG,1,FO2303MNI2,"InChI=1S/C6H8O4/c1-9-5(7)3-4-6(8)10-2/h3-4H,1-2H3/b4-3+",COC(=O)/C=C/C(=O)OC
26,26,OLANZAPINE,21,OLANZAPINE,Chemical,C17H20N4S,,KVWDHTXUZHCGIO-UHFFFAOYSA-N,,25/07/2019 11:55,22/12/2023 11:50,SUB09426MIG,1,N7U69T4SZR,"InChI=1S/C17H20N4S/c1-12-11-13-16(21-9-7-20(2)8-10-21)18-14-5-3-4-6-15(14)19-17(13)22-12/h3-6,11,19H,7-10H2,1-2H3",CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C
27,27,OLANZAPINE,22,OLANZAPINE,Chemical,C17H20N4S,,KVWDHTXUZHCGIO-UHFFFAOYSA-N,,25/07/2019 11:55,22/12/2023 11:50,SUB09426MIG,1,N7U69T4SZR,"InChI=1S/C17H20N4S/c1-12-11-13-16(21-9-7-20(2)8-10-21)18-14-5-3-4-6-15(14)19-17(13)22-12/h3-6,11,19H,7-10H2,1-2H3",CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C
28,28,BRINZOLAMIDE,23,BRINZOLAMIDE,Chemical,C12H21N3O5S3,,HCRKCZRJWPKOAR-JTQLQIEISA-N,,25/07/2019 11:55,19/12/2023 13:17,SUB05892MIG,1,9451Z89515,"InChI=1S/C12H21N3O5S3/c1-3-14-10-8-15(5-4-6-20-2)23(18,19)12-9(10)7-11(21-12)22(13,16)17/h7,10,14H,3-6,8H2,1-2H3,(H2,13,16,17)/t10-/m0/s1",CCN[C@H]1CN(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)CCCOC
29,29,BRIMONIDINE TARTRATE,23,BRIMONIDINE TARTRATE,Chemical,C11H10BrN5.C4H6O6,,QZHBYNSSDLTCRG-LREBCSMRSA-N,,25/07/2019 11:55,19/12/2023 13:17,SUB13122MIG,1,4S9CL2DY2H,"InChI=1S/C11H10BrN5.C4H6O6/c12-9-7(17-11-15-5-6-16-11)1-2-8-10(9)14-4-3-13-8;5-1(3(7)8)2(6)4(9)10/h1-4H,5-6H2,(H2,15,16,17);1-2,5-6H,(H,7,8)(H,9,10)/t;1-,2-/m.1/s1",C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O
30,30,POSACONAZOLE,24,POSACONAZOLE,Chemical,C37H42F2N8O4,,RAGOYPUPXAKGKH-XAKZXMRKSA-N,,25/07/2019 11:55,20/12/2023 08:33,SUB20322,1,6TK1G07BHZ,"InChI=1S/C37H42F2N8O4/c1-3-35(26(2)48)47-36(49)46(25-42-47)31-7-5-29(6-8-31)43-14-16-44(17-15-43)30-9-11-32(12-10-30)50-20-27-19-37(51-21-27,22-45-24-40-23-41-45)33-13-4-28(38)18-34(33)39/h4-13,18,23-27,35,48H,3,14-17,19-22H2,1-2H3/t26-,27+,35-,37-/m0/s1",CC[C@@H]([C@H](C)O)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OC[C@H]5C[C@](OC5)(CN6C=NC=N6)C7=C(C=C(C=C7)F)F
31,31,TEPOTINIB HYDROCHLORIDE MONOHYDRATE,25,TEPOTINIB HYDROCHLORIDE MONOHYDRATE,Chemical,C29H28N6O2.ClH.H2O,,KZVOMLRKFJUTLK-UHFFFAOYSA-N,,05/12/2019 10:05,17/05/2023 13:29,SUB205026,1,VY5YX2TQ1F,"InChI=1S/C29H28N6O2.ClH.H2O/c1-34-12-10-21(11-13-34)20-37-26-17-31-29(32-18-26)25-7-3-5-23(15-25)19-35-28(36)9-8-27(33-35)24-6-2-4-22(14-24)16-30;;/h2-9,14-15,17-18,21H,10-13,19-20H2,1H3;1H;1H2",CN1CCC(CC1)COC2=CN=C(N=C2)C3=CC=CC(=C3)CN4C(=O)C=CC(=N4)C5=CC=CC(=C5)C#N.O.Cl
32,32,FLUCICLOVINE (18F),26,FLUCICLOVINE (18F),Chemical,C5H8FNO2,,NTEDWGYJNHZKQW-DGMDOPGDNA-N,,25/07/2019 11:55,01/08/2023 06:31,SUB179608,1,38R1Q0L1ZE,"InChI=1/C5H8FNO2/c6-3-1-5(7,2-3)4(8)9/h3H,1-2,7H2,(H,8,9)/t3-,5-/i6-1",C(O)(=O)[C@@]1(N)C[C@@H]([18F])C1
33,33,SODIUM PHENYLBUTYRATE,27,SODIUM PHENYLBUTYRATE,Chemical,C10H11O2.Na,,VPZRWNZGLKXFOE-UHFFFAOYSA-M,,25/07/2019 11:55,17/05/2023 13:25,SUB12586MIG,1,NT6K61736T,"InChI=1S/C10H12O2.Na/c11-10(12)8-4-7-9-5-2-1-3-6-9;/h1-3,5-6H,4,7-8H2,(H,11,12);/q;+1/p-1",C1=CC=C(C=C1)CCCC(=O)[O-].[Na+]
34,34,SODIUM PHENYLBUTYRATE,28,SODIUM PHENYLBUTYRATE,Chemical,C10H11O2.Na,,VPZRWNZGLKXFOE-UHFFFAOYSA-M,,25/07/2019 11:55,17/05/2023 13:25,SUB12586MIG,1,NT6K61736T,"InChI=1S/C10H12O2.Na/c11-10(12)8-4-7-9-5-2-1-3-6-9;/h1-3,5-6H,4,7-8H2,(H,11,12);/q;+1/p-1",C1=CC=C(C=C1)CCCC(=O)[O-].[Na+]
35,35,PRUCALOPRIDE SUCCINATE,29,PRUCALOPRIDE SUCCINATE,Chemical,C18H26ClN3O3.C4H6O4,,QZRSNVSQLGRAID-UHFFFAOYSA-N,,25/07/2019 11:55,31/08/2023 11:44,SUB28850,1,4V2G75E1CK,"InChI=1S/C18H26ClN3O3.C4H6O4/c1-24-9-2-6-22-7-3-12(4-8-22)21-18(23)14-11-15(19)16(20)13-5-10-25-17(13)14;5-3(6)1-2-4(7)8/h11-12H,2-10,20H2,1H3,(H,21,23);1-2H2,(H,5,6)(H,7,8)",COCCCN1CCC(CC1)NC(=O)C2=CC(=C(C3=C2OCC3)N)Cl.C(CC(=O)O)C(=O)O
36,36,DAUNORUBICIN,30,DAUNORUBICIN,Chemical,C27H29NO10,,STQGQHZAVUOBTE-VGBVRHCVSA-N,,25/07/2019 11:55,28/07/2023 13:05,SUB06917MIG,1,ZS7284E0ZP,"InChI=1S/C27H29NO10/c1-10-22(30)14(28)7-17(37-10)38-16-9-27(35,11(2)29)8-13-19(16)26(34)21-20(24(13)32)23(31)12-5-4-6-15(36-3)18(12)25(21)33/h4-6,10,14,16-17,22,30,32,34-35H,7-9,28H2,1-3H3/t10-,14-,16-,17-,22+,27-/m0/s1",C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O
37,37,CYTARABINE,30,CYTARABINE,Chemical,C9H13N3O5,,UHDGCWIWMRVCDJ-CCXZUQQUSA-N,,25/07/2019 11:55,28/07/2023 13:05,SUB06880MIG,1,04079A1RDZ,"InChI=1S/C9H13N3O5/c10-5-1-2-12(9(16)11-5)8-7(15)6(14)4(3-13)17-8/h1-2,4,6-8,13-15H,3H2,(H2,10,11,16)/t4-,6-,7+,8-/m1/s1",C1=CN(C(=O)N=C1N)[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)O
38,38,IMATINIB MESILATE,31,IMATINIB MESILATE,Chemical,C29H31N7O.CH4O3S,,YLMAHDNUQAMNNX-UHFFFAOYSA-N,,25/07/2019 11:55,19/12/2023 06:17,SUB12517MIG,1,8A1O1M485B,"InChI=1S/C29H31N7O.CH4O3S/c1-21-5-10-25(18-27(21)34-29-31-13-11-26(33-29)24-4-3-12-30-19-24)32-28(37)23-8-6-22(7-9-23)20-36-16-14-35(2)15-17-36;1-5(2,3)4/h3-13,18-19H,14-17,20H2,1-2H3,(H,32,37)(H,31,33,34);1H3,(H,2,3,4)",CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5.CS(=O)(=O)O
39,39,REPAGLINIDE,32,REPAGLINIDE,Chemical,C27H36N2O4,,FAEKWTJYAYMJKF-QHCPKHFHSA-N,,25/07/2019 11:55,20/12/2023 11:11,SUB10280MIG,1,668Z8C33LU,"InChI=1S/C27H36N2O4/c1-4-33-25-17-20(12-13-22(25)27(31)32)18-26(30)28-23(16-19(2)3)21-10-6-7-11-24(21)29-14-8-5-9-15-29/h6-7,10-13,17,19,23H,4-5,8-9,14-16,18H2,1-3H3,(H,28,30)(H,31,32)/t23-/m0/s1",CCOC1=C(C=CC(=C1)CC(=O)N[C@@H](CC(C)C)C2=CC=CC=C2N3CCCCC3)C(=O)O
40,40,REPAGLINIDE,33,REPAGLINIDE,Chemical,C27H36N2O4,,FAEKWTJYAYMJKF-QHCPKHFHSA-N,,25/07/2019 11:55,20/12/2023 11:11,SUB10280MIG,1,668Z8C33LU,"InChI=1S/C27H36N2O4/c1-4-33-25-17-20(12-13-22(25)27(31)32)18-26(30)28-23(16-19(2)3)21-10-6-7-11-24(21)29-14-8-5-9-15-29/h6-7,10-13,17,19,23H,4-5,8-9,14-16,18H2,1-3H3,(H,28,30)(H,31,32)/t23-/m0/s1",CCOC1=C(C=CC(=C1)CC(=O)N[C@@H](CC(C)C)C2=CC=CC=C2N3CCCCC3)C(=O)O
41,41,EMTRICITABINE,34,EMTRICITABINE,Chemical,C8H10FN3O3S,,XQSPYNMVSIKCOC-NTSWFWBYSA-N,,25/07/2019 11:55,20/12/2023 12:09,SUB01882MIG,1,G70B4ETF4S,"InChI=1S/C8H10FN3O3S/c9-4-1-12(8(14)11-7(4)10)5-3-16-6(2-13)15-5/h1,5-6,13H,2-3H2,(H2,10,11,14)/t5-,6+/m0/s1",C1[C@H](O[C@H](S1)CO)N2C=C(C(=NC2=O)N)F
