,Value_x,Value_z
55,AMMONIA,AMMONIUM
56,AMMONIA,STRONG AMMONIA SOLUTION
57,AMMONIA,STRONG AMMONIA SOLUTION (E527)
58,AMMONIA,STRONG AMMONIUM SOLUTION
59,AMMONIA,CONCENTRATED AMMONIA SOLUTION
60,AMMONIA,CONCENTRATED AMMONIA SOLUTION(E527)
61,AMMONIUM GLYCYRRHIZATE,AMMONIUM GLYCYRRHIZATE
62,AMMONIUM HYDROXIDE,AMMOMIUM HYDROXIDE (E527)
100,AMMONIUM HYDROXIDE,AMMONIUM HYDROXIDE
101,AMMONIUM HYDROXIDE,AMMONIUM HYDROXIDE (28% SOLUTION)
102,AMMONIUM HYDROXIDE,AMMONIUM HYDROXIDE (E 527) 28%
103,AMMONIUM HYDROXIDE,AMMONIUM HYDROXIDE (E527)
104,AMMONIUM HYDROXIDE,AMMONIUM HYDROXIDE 28%
105,AMMONIUM HYDROXIDE,AMMONIUM HYDROXIDE 28% (E527)
107,AMMONIUM HYDROXIDE,CONCENTRATED (E527)
108,AMMONIUM SULPHATE,AMMONIUM SULPHATE
109,AMMONIUM SULPHATE,AMMONIUM SULPHATE (E 517)
110,ARGININE,ARGININE
111,ASCORBIC ACID,ASCORBIC ACID
112,ASCORBIC ACID,ASCORBIC ACID (E 300)
113,ASCORBIC ACID,ASCORBIC ACID (E300)
114,ASCORBYL PALMITATE,ASCORBYL PALMITATE
115,ASCORBYL PALMITATE,ASCORBYL PALMITATE (E304)
116,ASCORBYL PALMITATE,ASCORBYL PALMITATE (E304) AND
117,ASPARTAME,ASPARTAME
118,ASPARTAME,- ASPARTAME (E 951)
119,ASPARTAME,ASPARTAME (E 951)
120,ASPARTAME,ASPARTAME (E951)
121,ASPARTAME,ASPARTAME E 951
122,ASPARTAME,ASPARTAME* (E951)
123,BENZALKONIUM CHLORIDE,BENZALKONIUM CHLORIDE
126,BENZOIC ACID,BENZOIC ACID
127,BENZOIC ACID,BENZOIC ACID (E210)
128,BENZOIC ACID,BENZOIC ACID (E210) AND
129,BENZOIC ACID,BENZOIC ACID (E210) AND SULFURIC ACID
130,BENZYL ALCOHOL,BENZYL ALCOHOL
131,BENZYL BENZOATE,BENZYL BENZOATE
132,BETADEX,BETADEX
134,BETADEX SULFOBUTYL ETHER SODIUM,BETADEX SULFOBUTYL ETHER SODIUM
135,BETADEX SULFOBUTYL ETHER SODIUM,BETADEX SULFOBUTYL ETHER SODIUM (SBECD)
136,BETADEX SULFOBUTYL ETHER SODIUM,SULFOBUTYLBETADEX SODIUM
137,BETADEX SULFOBUTYL ETHER SODIUM,SULFOBUTYLETHER BETA CYCLODEXTRIN SODIUM (SBECD)
138,BETADEX SULFOBUTYL ETHER SODIUM,SULFOBUTYLETHER Β-CYCLODEXTRIN (SBECD)
139,BETADEX SULFOBUTYL ETHER SODIUM,SULPHOBUTYLETHER BETA CYCLODEXTRIN SODIUM (SBECD)
140,BORAX,BORAX
141,BORIC ACID,BORIC ACID
142,BORIC ACID,BORIC ACID (E284)
143,BRILLIANT BLUE,BLUE #1/BRILLIANT BLUE FCF ALUMINIUM LAKE (E133)
144,BRILLIANT BLUE,BLUE #1/BRILLIANT BLUE FCF ALUMINIUM LAKE (E133) AND YELLOW #5/TARTRAZINE ALUMINIUM LAKE
145,BRILLIANT BLUE,(E133)
146,BRILLIANT BLUE,BRILLIANT BLUE (E133)
147,BRILLIANT BLUE,BRILLIANT BLUE FCF
148,BRILLIANT BLUE,BRILLIANT BLUE FCF (E 133)
149,BRILLIANT BLUE,BRILLIANT BLUE FCF (E133)
150,BRILLIANT BLUE,BRILLIANT BLUE FCF ALUMINIUM LAKE (E133)
151,BRILLIANT BLUE,BRILLIANT BLUE FCF ALUMINUM LAKE (EU) (E133)
152,BRILLIANT BLUE,BRILLIANT BLUE FCF E133
153,BRILLIANT BLUE,BRILLIANT BLUEFCF ALUMINUM LAKE (E133)
154,BRILLIANT BLUE,FD&C BLUE #1/BRILLIANT BLUE FCF ALUMINUM LAKE (E133) (10 MG STRENGTH ONLY)
155,BUTANOL,BUTANOL
156,BUTANOL,BUTYL ALCOHOL
157,BUTANOL,N-BUTYL ALCOHOL
158,BUTYLHYDROXYANISOLE,BUTYLHYDROXYANISOLE
159,BUTYLHYDROXYANISOLE,BUTYLHYDROXYANISOLE (E320)
160,BUTYLHYDROXYTOLUENE,BUTYL HYDROXYTOLUENE (E321)
161,BUTYLHYDROXYTOLUENE,BUTYLATED HYDROXYANISOLE
163,BUTYLHYDROXYTOLUENE,BUTYLATED HYDROXYTOLUENE (E 321)
164,BUTYLHYDROXYTOLUENE,BUTYLATED HYDROXYTOLUENE (E321)
165,BUTYLHYDROXYTOLUENE,BUTYLHYDROXYTOLUENE
166,BUTYLHYDROXYTOLUENE,BUTYLHYDROXYTOLUENE (E 321)
167,BUTYLHYDROXYTOLUENE,BUTYLHYDROXYTOLUENE (E321)
168,CALCIUM CARBONATE,CALCIUM CARBONATE
169,CALCIUM CARBONATE,CALCIUM CARBONATE (E 170)
170,CALCIUM CHLORIDE,CALCIUM CHLORIDE
171,CALCIUM CHLORIDE DIHYDRATE,CALCIUM CHLORIDE DIHYDRATE
172,CALCIUM HYDROGEN PHOSPHATE,ANHYDROUS CALCIUM HYDROGEN PHOSPHATE
173,CALCIUM HYDROGEN PHOSPHATE,ANHYDROUS CALCIUM HYDROGEN PHOSPHATE (E341 (II))
174,CALCIUM HYDROGEN PHOSPHATE,ANHYDROUS CALCIUM HYDROGEN PHOSPHATE (E341)
175,CALCIUM HYDROGEN PHOSPHATE,CALCIUM HYDROGEN PHOSPHATE
176,CALCIUM HYDROGEN PHOSPHATE,CALCIUM HYDROGEN PHOSPHATE (ANHYDROUS)
177,CALCIUM HYDROGEN PHOSPHATE,CALCIUM HYDROGEN PHOSPHATE (ANHYDROUS) (E341II)
178,CALCIUM HYDROGEN PHOSPHATE,CALCIUM HYDROGEN PHOSPHATE (E 341)
179,CALCIUM HYDROGEN PHOSPHATE,CALCIUM HYDROGEN PHOSPHATE ANHYDROUS
180,CALCIUM HYDROGEN PHOSPHATE,CALCIUM HYDROGEN PHOSPHATE ANHYDROUS (E341II)
181,CALCIUM HYDROGEN PHOSPHATE,DIBASIC CALCIUM PHOSPHATE
182,CALCIUM HYDROGEN PHOSPHATE DIHYDRATE,CALCIUM HYDROGEN PHOSPHATE DIHYDRATE
183,CALCIUM HYDROXIDE,CALCIUM HYDROXIDE
185,CALCIUM SILICATE,CALCIUM SILICATE
186,CALCIUM STEARATE,CALCIUM STEARATE
187,CALCIUM SULFATE,CALCIUM SULFATE
188,CALCIUM SULFATE DIHYDRATE,CALCIUM SULFATE DIHYDRATE
189,CALCIUM-EDTMP SODIUM SALT,CALCIUM-EDTMP SODIUM SALT (AS CA)
190,CAPRYLIC ACID,CAPRYLIC ACID
191,CAPRYLOCAPROYL MACROGOL-8 GLYCERIDES,CAPRYLOCAPROYL MACROGOL-8 GLYCERIDES
192,CARBOMER,CARBOMER
193,CARBOMER,CARBOMER 941
194,CARBOMER,CARBOMER 974P
195,CARBOMER,CARBOPOL 974P
196,CARMELLOSE CALCIUM,CARMELLOSE CALCIUM
197,CARMELLOSE SODIUM,CARMELLOSE SODIUM
198,CARMELLOSE SODIUM,CARMELLOSE SODIUM (E466)
199,CARMINE,CARMINE (E 120)
200,CARMINE,CARMINE (E120)
201,CARMINE,CARMINE (E120).
202,CARMINE,CARMINE ALUMINIUM LAKE
203,CARMINE,CARMINE ALUMINIUM LAKE (E132)
204,CARMINE,COCHINEAL CARMINIC ACID (E120)
205,CARNAUBA WAX,CARNAUBA WAX
206,CARNAUBA WAX,CARNAUBA WAX (E 903)
207,CARNAUBA WAX,CARNAUBA WAX (E903)
208,CARNAUBA WAX,CARNAUBA WAX.
209,CARRAGEENAN,CARRAGEENAN
210,CARRAGEENAN,CARRAGEENAN (E407)
211,CARRAGEENAN,CARRAGEENAN CALCIUM SULFATE TRISODIUM PHOSPHATE (E407)
212,CASTOR OIL,CASTOR OIL
213,CASTOR OIL,CASTOR OIL REFINED
214,CELLULOSE,CELLULOSE
215,CELLULOSE,CELLULOSE (E460)
216,CELLULOSE ACETATE,CELLULOSE ACETATE
217,CELLULOSE POWDERED,CELLULOSE POWDERED
218,CELLULOSE POWDERED,POWDERED CELLULOSE
220,CETOSTEARYL ALCOHOL,CETOSTEARYL ALCOHOL;
221,CETYL ALCOHOL,CETYL ALCOHOL
222,CETYLPYRIDINIUM CHLORIDE,CETYLPYRIDINIUM CHLORIDE
223,CHERRY MICRON OT-22685,CHERRY MICRON OT-22685
224,CHLOROPHYLLIN,CHLOROPHYLLIN (E140 (II))
225,CHOLESTEROL,CHOLESTEROL
226,CHOLESTEROL,CHOLESTEROL FOR PARENTERAL USE
227,CITRIC ACID,ANHYDROUS CITRIC ACID
228,CITRIC ACID,ANHYDROUS CITRIC ACID (E330)
229,CITRIC ACID,ANHYDROUS CITRIC ACID (PH ADJUSTMENT)
230,CITRIC ACID,CITRIC ACID
231,CITRIC ACID,CITRIC ACID (ANHYDROUS)
232,CITRIC ACID,CITRIC ACID (E 330)
233,CITRIC ACID,CITRIC ACID (E330)
234,CITRIC ACID,CITRIC ACID (PH ADJUSTMENT)
236,CITRIC ACID,CITRIC ACID ANHYDROUS
237,CITRIC ACID,CITRIC ACID ANHYDROUS (E330)
238,CITRIC ACID,CITRIC ACID ANHYDROUS (FOR PH-ADJUSTMENT)
240,CITRIC ACID,CITRIC ACID MONOHYDRATE
241,CITRIC ACID,CITRIC ACID MONOHYDRATE (E 330)
242,CITRIC ACID,CITRIC ACID MONOHYDRATE (E330)
243,CITRIC ACID,CITRIC ACID.
244,CLEAR POLYESTER/ETHYLENE-VINYL ACETATE (PET/EVA),CLEAR POLYESTER/ETHYLENE-VINYL ACETATE (PET/EVA)
245,COLOUR MIXTURE,COLOUR MIXTURE BLUE (POLYDEXTROSE
246,COLOUR MIXTURE,COLOUR MIXTURE LIGHT BLUE (TITANIUM DIOXIDE E171
247,COLOUR MIXTURE,COLOUR MIXTURE PINK (POLYDEXTROSE
248,COLOUR MIXTURE,COLOUR MIXTURE PINK (TITANIUM DIOXIDE E171
249,COLOUR MIXTURE,COLOUR MIXTURE WHITE (HYPROMELLOSE
250,COLOUR MIXTURE,COLOUR MIXTURE WHITE (POLYDEXTROSE
251,COPOVIDONE,COPOVIDONE
252,COPOVIDONE,COPOVIDONE (E 1208)
253,COPOVIDONE,COPOVIDONE (E1208)
255,COPOVIDONE,COPOVIDONE (K 28)
256,COPOVIDONE,COPOVIDONE (K-VALUE NOMINALLY 28)
258,COPOVIDONE,COPOVIDONE K 28
259,COPPER GLUCONATE,COPPER GLUCONATE
260,COPPER PHTHALOCYANINE BLUE PIGMENT,COPPER PHTHALOCYANINE BLUE PIGMENT.
261,CORN MINT OIL,CORN MINT OIL
262,COTTONSEED OIL,COTTONSEED OIL
263,CROSCARMELLOSE SODIUM,COSCARMELLOSE SODIUM
264,CROSCARMELLOSE SODIUM,TABLET CORE: CROSCARMELLOSE SODIUM
265,CROSCARMELLOSE SODIUM,CROSCARMELLOSE SODIUM
266,CROSCARMELLOSE SODIUM,CROSCARMELLOSE SODIUM (E 468)
267,CROSCARMELLOSE SODIUM,CROSCARMELLOSE SODIUM (E468)
269,CROSCARMELLOSE SODIUM,CROSCARMELLOSE SODIUM(E468)
270,CROSPOVIDONE,CAPSULE CONTENTS: CROSPOVIDONE
271,CROSPOVIDONE,CROSPOVIDON
272,CROSPOVIDONE,CROSPOVIDONE
273,CROSPOVIDONE,CROSPOVIDONE.
274,CROSPOVIDONE,CROSPOVIDONE (E1201)
275,CROSPOVIDONE,CROSPOVIDONE (E1202)
276,CROSPOVIDONE,CROSPOVIDONE (POLYPLASDONE XL-10 PHARMACEUTICAL GRADE)
277,CROSPOVIDONE,CROSPOVIDONE (TYPE A)
278,CROSPOVIDONE,CROSPOVIDONE A
279,CROSPOVIDONE,CROSPOVIDONE TYPE A
280,CROSPOVIDONE,CROSPOVIDONE TYPE A (E 1202)
281,CROSPOVIDONE,CROSPOVIDONE (TYPE B)
282,CROSPOVIDONE,CROSPOVIDONE TYPE B
283,CROSPOVIDONE,CROSPOVIDONE TYPE B (E1202)
285,CYSTEINE HYDROCHLORIDE,CYSTEINE HYDROCHLORIDE
286,DECAMETHYLCYCLOPENTASILOXANE,DECAMETHYLCYCLOPENTASILOXANE AND POLY(OXY-1
288,DIACETYLATED MONOGLYCERIDES,DIACETYLATED MONOGLYCERIDES
289,DIBASIC POTASSIUM PHOSPHATE,DIBASIC POTASSIUM PHOSPHATE
291,DIBUTYLSEBACATE,DIBUTYL SEBACATE
292,DIBUTYLSEBACATE,DIBUTYLSEBACATE
293,DIERUCOYLPHOSPHATIDYLCHOLINE (DEPC),DIERUCOYLPHOSPHATIDYLCHOLINE (DEPC)
294,DIETHYL PHTHALATE,DIETHYL PHTHALATE
295,DIETHYLENE GLYCOL MONOETHYL ETHER,DIETHYLENE GLYCOL MONOETHYL ETHER
296,DIHYDROCOUMARIN,DIHYDROCOUMARIN
297,DIMETHICONE,DIMETHICONE
298,DIMETHICONE,DIMETICONE;
299,DIMETHICONE,DIMETHICONE 350
300,DIMETHICONE,DIMETICONE 1000
301,DIMETHICONE,DIMETICONE 350
302,DIMETHYL SULFOXIDE (DMSO),DIMETHYL SULFOXIDE
304,DIMETHYLACETAMIDE,DIMETHYLACETAMIDE
305,DIOLEOYLPHOSPHATIDYLCHOLINE (DOPC),DIOLEOYLPHOSPHATIDYLCHOLINE (DOPC)
306,DIPALMITOYLPHOSPHATIDYLCHOLINE (DPPC),2-DIPALMITOYL-SN-GLYCERO-3-PHOSPHATIDYLCHOLINE (DPPC)
307,DIPALMITOYLPHOSPHATIDYLCHOLINE (DPPC),COLFOSCERIL PALMITATE (DPPC)
308,DIPALMITOYLPHOSPHATIDYLCHOLINE (DPPC),DIPALMITOYLPHOSPHATIDYLCHOLINE (DPPC)
309,DIPALMITOYLPHOSPHATIDYLGLYCEROL (DPPG),DIPALMITOYLPHOSPHATIDYLGLYCEROL (DPPG)
310,DIPALMITOYLPHOSPHATIDYLGLYCEROL SODIUM,DIPALMITOYLPHOSPHATIDYLGLYCEROL SODIUM
311,DISODIUM EDETATE,DISODIUM EDETATE
312,DISODIUM EDETATE,DISODIUM EDETATE (E386)
313,DISODIUM EDETATE DIHYDRATE,DISODIUM EDETATE DIHYDRATE
314,DISODIUM HYDROGEN CITRATE,DISODIUM HYDROGEN CITRATE
315,DISODIUM HYDROGEN PHOSPHATE,DISODIUM HYDROGEN PHOSPHATE
316,DISODIUM HYDROGEN PHOSPHATE,DISODIUM PHOSPHATE
317,DISODIUM HYDROGEN PHOSPHATE,DISODIUM PHOSPHATE (E 339)
319,DISODIUM HYDROGEN PHOSPHATE ANHYDROUS,DISODIUM HYDROGEN PHOSPHATE ANHYDROUS
322,DISODIUM HYDROGEN PHOSPHATE DODECAHYDRATE,DISODIUM PHOSPHATE DODECAHYDRATE (E339)
323,DISODIUM HYDROGEN PHOSPHATE HEPTAHYDRATE,DISODIUM HYDROGEN PHOSPHATE HEPTAHYDRATE
325,DISODIUM PHOSPHATE DIHYDRATE,DISODIUM PHOSPHATE DIHYDRATE
326,DISPERSIBLE CELLULOSE,DISPERSIBLE CELLULOSE
327,DISTEAROYLPHOSPHATIDYLCHOLINE,DISTEAROYLPHOSPHATIDYLCHOLINE
328,DISTEAROYLPHOSPHATIDYLGLYCEROL,DISTEAROYLPHOSPHATIDYLGLYCEROL
330,DISODIUM EDETATE,EDETATE DISODIUM
331,EDTMP HYDRATE,TOTAL EDTMP (AS EDTMP.H2O)
332,ERYTHROSINE,ERYTHROSIN (E127)
333,ERYTHROSINE,ERYTHROSINE
334,ERYTHROSINE,ERYTHROSINE (E 127)
335,ERYTHROSINE,ERYTHROSINE (E127)
336,ETHANOL,ALCOHOL (42.4% V/V)
337,ETHANOL,ANHYDROUS ETHANOL
338,ETHANOL,DEHYDRATED ALCOHOL
339,ETHANOL,DEHYDRATED ETHANOL
340,ETHANOL,ETHANOL
341,ETHANOL,ETHANOL (96 PER CENT)
342,ETHANOL,ETHANOL (96%) (E1510)
343,ETHANOL,ETHANOL (ANHYDROUS)
344,ETHANOL,ETHANOL 95%
345,ETHANOL,ETHANOL 96%
346,ETHANOL,ETHANOL ANHYDROUS
347,ETHANOL,ETHYL ALCOHOL
348,ETHYL BENZOATE,ETHYL BENZOATE
349,ETHYL PARAHYDROXYBENZOATE,ETHYL PARAHYDROXYBENZOATE (E214)
350,ETHYL VANILLIN,ETHYL VANILLIN
351,ETHYL VANILLIN,ETHYL VANILLIN AND LACTOSE)
352,ETHYL VANILLIN,ETHYL VANILLIN)
353,ETHYLCELLULOSE,ETHYL CELLULOSE
354,ETHYLCELLULOSE,ETHYLCELLULOSE
355,ETHYLCELLULOSE,ETHYLCELLULOSE (E462)
356,ETHYLCELLULOSE,- ETHYLCELLULOSE 20 CP
357,ETHYLCELLULOSE,ETHYLCELLULOSE N50 (E462)
358,ETHYLCELLULOSE,ETHYLCELLULOSE N7
359,ETHYLENE VINYL ACETATE COPOLYMER,ETHYLENE VINYL ACETATE COPOLYMER
360,FLAVOUR,ARTIFICIAL BANANA FLAVOUR
361,FLAVOUR,ARTIFICIAL CHERRY FLAVOUR
362,FLAVOUR,ARTIFICIAL CHERRY FLAVOUR CONTAINING BENZYL ALCOHOL AND PROPYLENE GLYCOL
363,FLAVOUR,ARTIFICIAL CHERRY FLAVOUR CONTAINING BENZYL ALCOHOL AND PROPYLENE GLYCOL (E1520)
364,FLAVOUR,ARTIFICIAL FLAVOURS AND PROPYLENE GLYCOL.
365,FLAVOUR,ARTIFICIAL GRAPE BUBBLEGUM FLAVOUR
366,FLAVOUR,ARTIFICIAL STRAWBERRY AND BANANA FLAVOURS
367,FLAVOUR,ARTIFICIAL STRAWBERRY FLAVOUR
368,FLAVOUR,ARTIFICIAL STRAWBERRY FLAVOUR [CONTAINS SMALL AMOUNTS OF ETHANOL (ALCOHOL)]
369,FLAVOUR,ARTIFICIAL VANILLA FLAVOUR: MALTODEXTRIN
370,FLAVOUR,BANANA FLAVOUR
371,FLAVOUR,CHERRY FLAVOUR
372,FLAVOUR,CHERRY FLAVOURING POWDER:
374,FLAVOUR,CITRUS FRUIT FLAVOUR
375,FLAVOUR,COTTON CANDY FLAVOUR (CONTAINING ETHYL MALTOL
376,FLAVOUR,COTTON CANDY FLAVOURING
377,FLAVOUR,FLAVOUR BERRY CITRUS SWEET CONTAINING PROPYLENE GLYCOL (E1520)
378,FLAVOUR,FLAVOUR PEPPERMINT (CONTAINS ALSO SUCROSE)
379,FLAVOUR,FLAVOUR SPEARMINT
380,FLAVOUR,FLAVOUR SWEET AND CREAMY: FLAVOURING SUBSTANCES
382,FLAVOUR,FLAVOUR TUTTI-FRUTTI ARTIFICIAL (CONTAINS MALTODEXTRIN
383,FLAVOUR,FLAVOURING
385,FLAVOUR,FLAVOURING SUBSTANCES
386,FLAVOUR,GRAPE FLAVOUR
387,FLAVOUR,GRAPE FLAVOUR (CONTAINS PROPYLENE GLYCOL)
388,FLAVOUR,GRAPE FLAVOUR [CONTAINING PROPYLENE GLYCOL (E1520)
389,FLAVOUR,GRAPE FLAVOUR:
390,FLAVOUR,IDENTICAL FLAVOURING SUBSTANCES [MAINLY CONSISTING OF BANANA
391,FLAVOUR,LEMON FLAVOUR [FLAVOURING PREPARATION(S)
393,FLAVOUR,MANGO FLAVOUR (CONSISTING OF NATURE IDENTICAL FLAVOURINGS
394,FLAVOUR,MASKING FLAVOUR
395,FLAVOUR,MASKING FLAVOUR (CONTAINS PROPYLENE GLYCOL
396,FLAVOUR,MASKING FLAVOUR (CONTAINS PROPYLENE GLYCOL (E1520)
397,FLAVOUR,WOODBERRY FLAVOUR
398,FLAVOUR,TUTTI FRUTTI FLAVOUR
399,FLAVOUR,TUTTI FRUTTI FLAVOUR (CONTAINS SORBITOL)
400,FLAVOUR,TUTTI FRUTTI FLAVOUR (INCLUDING MALTODEXTRINS [MAIZE]
401,FLAVOUR,VANILLA FLAVOUR (CONTAINS PROPYLENE GLYCOL)
402,FLAVOUR,VANILLA FLAVOUR (CONTAINING P-HYDROXYBENZOIC ACID
403,FLAVOUR,VANILLA FLAVOUR (INCLUDING VANILLIN
404,FLAVOUR,VANILLIC ACID
405,FLAVOUR,RASPBERRY FLAVOUR (PROPYLENE GLYCOL (E1520) 90 % - 98 %)
406,FLAVOUR,RASPBERRY FLAVOURING (CONTAINING PROPYLENE GLYCOL E1520)
407,FLAVOUR,STRAWBERRY CREAM FLAVOUR
408,FLAVOUR,STRAWBERRY FLAVOUR
409,FLAVOUR,STRAWBERRY FLAVOUR (CONTAINING PROPYLENE GLYCOL)
410,FLAVOUR,STRAWBERRY FLAVOUR (CONTAINS PROPYLENE GLYCOL (E1520)
411,FLAVOUR,STRAWBERRY FLAVOUR (CONTAINS PROPYLENE GLYCOL)
413,FLAVOUR,STRAWBERRY FLAVOUR (INCLUDING BENZYL ALCOHOL)
414,FLAVOUR,STRAWBERRY FLAVOUR (INCLUDING PROPYLENE GLYCOL)
415,FLAVOUR,STRAWBERRY FLAVOURING
416,FLAVOUR,STRAWBERRY/MINT FLAVOUR [CONTAINING BENZYL ALCOHOL (E1519) AND PROPYLENE GLYCOL (E1520)]
417,FLAVOUR,MINT FLAVOUR
419,FLAVOUR,MIXED BERRY FLAVOUR [CONTAINING BENZYL ALCOHOL
420,FLAVOUR,MIXED FRUIT FLAVOUR
421,FLAVOUR,NATURAL AND ARTIFICIAL BUBBLE GUM FLAVOURING CONTAINING BENZYL ALCOHOL (E 1519) AND PROPYLENE GLYCOL
422,FLAVOUR,NATURAL AND ARTIFICIAL FLAVOUR
423,FLAVOUR,NATURAL AND ARTIFICIAL FLAVOUR (BUBBLEGUM
424,FLAVOUR,NATURAL FLAVOURING
426,FLAVOUR,NATURAL FLAVOURING PREPARATIONS
427,FLAVOUR,NATURAL FLAVOURING SUBSTANCES
428,FLAVOUR,AND NATURAL FLAVOURS]
429,FLAVOUR,NATURAL LEMON AND LIME FLAVOUR
430,FLAVOUR,NATURAL LIME FLAVOUR
431,FLAVOUR,NATURAL ORANGE FLAVOUR
432,FLAVOUR,NATURAL PEPPERMINT FLAVOUR
433,FLAVOUR,NATURAL AND ARTIFICIAL
434,FLAVOUR,ORANGE FLAVOUR
435,FLAVOUR,ORANGE FLAVOUR (ACACIA AND NATURAL FLAVOURS)
436,FLAVOUR,ORANGE VANILLA FLAVOUR
437,FLAVOUR,PASSION FRUIT FLAVOURING
438,FLAVOUR,PINEAPPLE AND PEACH FLAVOUR]).
440,FRUCTOSE,FRUCTOSE
441,FULLY HYDROGENATED SOY PHOSPHATIDYLCHOLINE (HSPC),FULLY HYDROGENATED SOY PHOSPHATIDYLCHOLINE (HSPC)
442,FUMARIC ACID,FUMARIC ACID
443,FUMARIC ACID,FUMARIC ACID (E 297)
444,GELATIN,CAPSULE SHELL: GELATINE
445,GELATIN,CAPSULE SHELLS: GELATIN
447,GELATIN,GELATIN
448,GELATIN,GELATIN (BOVINE ORIGIN)
449,GELATIN,GELATIN (E 171)
450,GELATIN,GELATIN (E441)
451,GELATIN,GELATIN.
452,GELATIN,GELATINE
453,GELATIN,GELATINE (E 441)
454,GELLAN GUM,GELLAN GUM
455,GENTISIC ACID,GENTISIC ACID
456,GLUCOSE,GLUCOSE (MAIZE)
457,GLUCOSE,GLUCOSE
458,GLUCOSE,GLUCOSE ANHYDROUS
459,GLUCOSE,GLUCOSE LIQUID
460,GLUCOSE,GLUCOSE MONOHYDRATE
461,GLUCOSE,LIQUID GLUCOSE
462,GLYCEROL,GLYCERIN
463,GLYCEROL,GLYCERIN (E422)
464,GLYCEROL,GLYCERINE (E 422)
465,GLYCEROL,GLYCEROL
466,GLYCEROL,GLYCEROL (85 %)
467,GLYCEROL,GLYCEROL (85 PER CENT) (E422)
468,GLYCEROL,GLYCEROL (85%)
469,GLYCEROL,GLYCEROL (E 422)
470,GLYCEROL,GLYCEROL (E422)
